Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status
Person_622,606084335643,ABCDE5430F,1,72174,No,1,129350,Self-Employed,24,None,101247,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_248,108255811610,ABCDE4516F,5,16463,No,0,131801,Self-Employed,51,None,67223,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_29,237584806549,ABCDE3001F,4,90195,Yes,1,253741,Unemployed,74,None,316750,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_607,339097490100,ABCDE8086F,3,31821,Yes,2,277196,Self-Employed,23,Own,222546,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_897,950522151532,ABCDE1989F,5,22105,No,2,120039,Self-Employed,65,Own,56316,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_966,616272324729,ABCDE8913F,1,53139,No,2,136214,Unemployed,69,Rent,37249,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_673,843664099382,ABCDE1893F,4,99019,No,2,91177,Self-Employed,69,None,123923,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_65,685897868079,ABCDE6769F,5,38800,No,0,154434,Unemployed,50,Own,175664,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_38,882657093140,ABCDE3310F,5,49766,No,0,249393,Employed,62,None,305144,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_398,201459362558,ABCDE1799F,3,52417,No,2,265959,Self-Employed,49,Rent,140823,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_266,709968526895,ABCDE2131F,4,51850,No,2,191771,Employed,70,None,353741,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_66,157973207551,ABCDE4067F,3,6224,Yes,0,125104,Unemployed,42,None,125015,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_595,991486325890,ABCDE5148F,0,97765,No,2,63570,Self-Employed,64,Rent,95313,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_863,680943165770,ABCDE8785F,3,28667,Yes,1,177630,Unemployed,24,None,154339,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_472,344660143591,ABCDE1062F,5,64540,No,2,212320,Self-Employed,55,Rent,275143,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_571,869815854615,ABCDE9850F,1,77204,No,2,155603,Self-Employed,47,None,136745,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_363,426190073697,ABCDE9343F,3,77080,No,2,217765,Self-Employed,73,Rent,384731,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_974,988639092304,ABCDE7358F,4,34738,No,0,66917,Self-Employed,47,Own,138817,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_986,293774675201,ABCDE4804F,1,97361,Yes,2,38603,Employed,31,Own,133593,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_550,645498696935,ABCDE3719F,3,78517,No,2,59740,Unemployed,38,Rent,93388,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_788,871627578568,ABCDE4008F,2,86785,No,0,109028,Self-Employed,25,Own,135360,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_309,854599873113,ABCDE3898F,4,79109,No,2,216495,Employed,64,Rent,289141,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_191,563592545234,ABCDE4791F,2,89068,Yes,1,269585,Unemployed,36,Rent,390769,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_785,673994639902,ABCDE6749F,2,60004,No,2,126286,Unemployed,41,Rent,35421,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_534,350558412678,ABCDE3568F,0,8107,Yes,0,83404,Unemployed,46,Own,51808,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_453,606174205573,ABCDE6765F,4,9946,Yes,2,178381,Employed,42,None,120036,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_502,486714066717,ABCDE1115F,4,79994,No,1,152927,Unemployed,42,Own,181247,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_522,880257831280,ABCDE8663F,5,72538,Yes,0,251686,Unemployed,40,None,207849,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_929,948387356064,ABCDE5819F,0,91353,Yes,0,76003,Unemployed,47,Own,22798,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_939,810188802159,ABCDE7435F,2,95102,Yes,1,181407,Self-Employed,75,Rent,353345,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_245,759933117240,ABCDE3324F,5,84820,Yes,2,33250,Unemployed,18,None,27419,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_490,917564091560,ABCDE1884F,0,42500,No,1,50938,Unemployed,29,Own,49510,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_981,999115147253,ABCDE5651F,5,17518,Yes,1,142792,Self-Employed,26,Own,105328,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_924,165923260690,ABCDE3617F,4,11503,Yes,2,202715,Employed,34,Own,196271,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_162,836612232931,ABCDE6701F,3,25322,Yes,2,141477,Self-Employed,28,Rent,116996,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_808,397365044864,ABCDE2941F,4,39147,No,1,109908,Employed,33,Own,32057,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_738,815554743568,ABCDE7690F,3,11558,Yes,1,95642,Self-Employed,24,Rent,45953,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_242,765852218714,ABCDE2960F,4,9193,Yes,2,63016,Unemployed,69,Rent,25668,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_939,679520262642,ABCDE8605F,3,73814,Yes,0,75233,Self-Employed,69,Rent,36925,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_237,144303835388,ABCDE2608F,2,44681,Yes,2,156263,Self-Employed,55,None,387233,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_211,346757783248,ABCDE7117F,4,32409,No,2,41615,Unemployed,24,Own,74716,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_510,205899882428,ABCDE2309F,2,93004,No,0,124158,Self-Employed,73,Rent,43648,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_579,188419257029,ABCDE9088F,2,76256,No,0,224823,Employed,48,None,180304,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_97,209642264769,ABCDE3082F,0,91278,Yes,2,39571,Unemployed,40,Rent,140761,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_661,110256135044,ABCDE7776F,4,80456,Yes,1,176944,Unemployed,58,Rent,356967,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_493,279990453774,ABCDE5818F,5,47023,Yes,2,128683,Employed,40,None,128705,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_330,971897218821,ABCDE3403F,2,93775,No,2,214731,Self-Employed,18,None,249130,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_221,343829558816,ABCDE7436F,0,49073,No,0,263023,Unemployed,48,Rent,180177,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_760,886046516637,ABCDE1573F,2,74935,Yes,0,80728,Employed,33,None,124907,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_435,587878800756,ABCDE1631F,2,89250,Yes,2,39290,Employed,46,Rent,120119,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_505,889633473390,ABCDE6514F,2,41032,Yes,1,297146,Self-Employed,45,Own,345613,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_442,494213205416,ABCDE2006F,3,25586,No,0,258909,Self-Employed,60,Own,329999,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_997,107480555596,ABCDE5250F,5,97056,Yes,0,272192,Unemployed,65,None,243243,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_275,984487007998,ABCDE3886F,4,64938,No,0,290878,Self-Employed,63,None,203674,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_146,941218567037,ABCDE1654F,5,43801,Yes,0,215591,Employed,68,Own,209637,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_728,540787563893,ABCDE9227F,0,78527,Yes,0,217586,Self-Employed,64,Rent,129758,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_95,584792165664,ABCDE6497F,4,32128,No,0,177849,Employed,49,None,116031,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_668,239390273249,ABCDE8548F,5,63436,Yes,0,254745,Unemployed,37,None,137224,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_317,107916904468,ABCDE8343F,4,99282,No,1,270782,Employed,47,Own,382264,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_380,399967620509,ABCDE1630F,5,89538,No,1,90517,Employed,72,Rent,35414,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_842,375431405030,ABCDE9234F,3,88268,No,0,221890,Employed,24,None,334843,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_378,324226620272,ABCDE5059F,3,67161,Yes,0,53451,Self-Employed,66,Own,57032,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_589,717810721756,ABCDE2171F,5,41557,No,0,179817,Employed,52,Own,127420,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_94,379738857561,ABCDE8449F,5,58394,Yes,2,53351,Unemployed,67,None,104098,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_218,412064535874,ABCDE5752F,5,95175,No,1,29147,Unemployed,30,Own,90227,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_237,535800752219,ABCDE4257F,4,10343,No,2,151828,Self-Employed,61,Rent,396673,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_269,298694373984,ABCDE4815F,4,6423,No,0,33783,Unemployed,22,Rent,131115,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_558,156306161888,ABCDE6921F,0,57078,Yes,0,116249,Unemployed,50,Own,120368,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_779,812120219392,ABCDE1648F,5,61044,Yes,2,26294,Self-Employed,49,None,120971,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_220,168476766991,ABCDE5460F,0,83932,No,0,203220,Unemployed,57,Own,338391,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_390,521768943685,ABCDE2098F,0,5519,Yes,1,256000,Employed,46,None,301349,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_921,156018417113,ABCDE4176F,3,55403,Yes,2,240570,Self-Employed,61,None,136308,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_351,201597327983,ABCDE4537F,2,47168,No,0,116215,Unemployed,18,None,40642,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_182,579180929737,ABCDE2823F,0,76677,Yes,1,166300,Self-Employed,31,None,364742,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_442,745593208764,ABCDE4725F,4,72066,No,2,98885,Employed,31,Rent,61488,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_883,136577800399,ABCDE4911F,3,28605,Yes,0,256223,Self-Employed,35,Own,268556,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_695,120176046534,ABCDE1617F,3,17670,Yes,1,172451,Self-Employed,50,None,140007,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_832,900946715279,ABCDE8637F,3,29933,No,2,43628,Unemployed,27,None,21479,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_844,448934585737,ABCDE2102F,3,67593,No,2,271302,Self-Employed,28,Rent,231872,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_402,406811495115,ABCDE2873F,1,65633,Yes,1,232794,Self-Employed,46,Own,363135,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_522,497191009541,ABCDE8970F,1,90054,No,0,234895,Self-Employed,63,Rent,137747,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_424,586050292721,ABCDE5901F,1,80022,No,1,83490,Self-Employed,41,None,51393,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_654,750621536472,ABCDE1332F,3,68896,Yes,1,58962,Self-Employed,36,Own,73742,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_727,838387937373,ABCDE3915F,4,75079,Yes,2,253561,Employed,71,None,372937,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_800,969121007756,ABCDE3574F,1,46265,Yes,1,192693,Employed,60,None,281720,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_137,385050202585,ABCDE6142F,2,94959,No,0,26136,Unemployed,45,None,36525,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_28,796914625897,ABCDE8320F,1,32457,No,2,78966,Unemployed,53,Own,100010,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_54,227883457206,ABCDE3910F,0,96147,No,2,44619,Unemployed,75,Own,95489,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_580,265120084500,ABCDE4263F,3,92039,Yes,0,108427,Employed,47,Rent,125048,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_315,527577094129,ABCDE1830F,3,21681,No,0,220642,Employed,68,Rent,127939,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_208,670070222089,ABCDE5782F,0,21052,Yes,2,210474,Self-Employed,26,Rent,162298,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_278,847617123516,ABCDE2137F,2,9215,Yes,2,240738,Employed,66,Rent,380090,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_318,436790734904,ABCDE7748F,3,86487,Yes,2,67449,Unemployed,40,None,35462,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_317,447899761911,ABCDE3113F,4,83560,No,1,82718,Self-Employed,75,Own,123153,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_898,414017593143,ABCDE7333F,5,19208,No,1,99787,Unemployed,54,Own,76863,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_191,104589566860,ABCDE8915F,2,55921,No,2,240253,Self-Employed,65,Own,335205,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_750,824473890053,ABCDE5220F,4,67808,No,1,43830,Self-Employed,22,Own,128555,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
