Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status
Person_358,763529891377,ABCDE1503F,2,35763,No,1,128102,Employed,33,None,116396,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_642,220732295485,ABCDE9764F,2,77708,Yes,0,292884,Employed,38,Rent,244998,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_163,782387971617,ABCDE3084F,2,71611,No,1,82420,Unemployed,38,None,28845,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_207,462055288115,ABCDE2989F,4,26712,Yes,2,286186,Employed,69,Own,343592,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_576,276777990859,ABCDE8637F,3,82817,No,2,95984,Unemployed,45,Own,71452,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_127,504473881824,ABCDE6393F,3,51334,No,2,68287,Self-Employed,56,Own,20599,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_894,634228049496,ABCDE2729F,0,16106,Yes,2,165163,Employed,21,Rent,186915,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_709,185164504525,ABCDE2184F,5,77732,No,0,243702,Self-Employed,33,Own,112252,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_907,890667581396,ABCDE5437F,2,9419,No,1,270298,Unemployed,57,Rent,101358,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_29,142982984897,ABCDE2066F,0,83147,No,1,49673,Employed,24,None,24201,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_111,114925354110,ABCDE1175F,0,44604,No,1,176561,Employed,48,Rent,373122,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_566,856474098750,ABCDE1690F,3,7836,Yes,1,265757,Self-Employed,34,Rent,268059,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_577,987382291433,ABCDE8710F,0,76110,No,2,289289,Employed,40,Own,247627,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_632,964171955778,ABCDE9904F,3,43804,Yes,2,56145,Employed,58,Own,61332,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_507,556131880878,ABCDE4707F,2,29424,No,0,43726,Self-Employed,42,Rent,90859,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_415,844004644379,ABCDE4422F,5,25453,No,2,252760,Self-Employed,33,Rent,349371,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_100,534965494030,ABCDE9311F,0,22904,Yes,1,213527,Employed,60,None,272157,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_638,574503926863,ABCDE5280F,5,19970,Yes,1,65650,Unemployed,24,Own,116920,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_909,901756901286,ABCDE8837F,3,40927,No,2,88661,Self-Employed,30,None,79423,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_210,963037721764,ABCDE3445F,4,94089,No,0,248388,Employed,19,Own,299263,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_537,495808810896,ABCDE7693F,4,36149,No,0,156968,Employed,56,Own,368041,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_289,849103558521,ABCDE6011F,2,80054,No,1,86545,Employed,45,None,113670,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_417,539326204724,ABCDE8987F,0,55878,No,1,37857,Employed,23,None,49946,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_732,797056618685,ABCDE4447F,4,97614,Yes,1,198530,Employed,51,Rent,287425,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_652,859174625094,ABCDE1130F,5,74738,Yes,1,54030,Employed,44,Own,59359,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_117,483270800091,ABCDE5410F,0,93986,No,0,229982,Self-Employed,56,Rent,371598,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_617,418399817181,ABCDE5391F,2,66953,Yes,2,68328,Unemployed,51,Rent,149819,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_491,555139719375,ABCDE5158F,0,84565,No,2,121177,Employed,42,None,47321,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_162,357987898191,ABCDE6471F,5,53519,Yes,1,196697,Unemployed,50,Own,277412,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_482,910117490039,ABCDE3527F,1,45936,Yes,2,238527,Employed,54,Own,153659,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_765,343829984860,ABCDE6891F,0,22236,Yes,0,124578,Employed,20,Rent,42302,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_61,739950787860,ABCDE3222F,2,9044,No,1,221798,Employed,50,None,168796,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_274,510204996044,ABCDE1864F,2,32892,Yes,1,273624,Employed,30,None,173313,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_851,611840306419,ABCDE2092F,4,66818,No,1,130770,Unemployed,20,Own,103846,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_515,572884292003,ABCDE8425F,2,86201,No,2,228146,Employed,53,Rent,364254,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_151,681041246165,ABCDE7195F,2,18869,No,2,111929,Employed,49,Rent,115712,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_680,754268353817,ABCDE3153F,4,13450,No,0,49957,Employed,23,Own,87230,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_473,758313114821,ABCDE3340F,3,11504,Yes,2,42228,Employed,61,Own,28372,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_306,824981070532,ABCDE3203F,3,95985,Yes,2,194817,Self-Employed,44,None,131327,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_537,920880795214,ABCDE2640F,4,76229,No,2,76599,Employed,24,Rent,35081,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_539,418340254824,ABCDE3782F,3,86818,No,0,276699,Self-Employed,55,Own,106059,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_181,635284276786,ABCDE1320F,5,73343,No,2,52578,Employed,19,None,32583,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_537,702209677021,ABCDE7413F,4,28605,Yes,0,239886,Employed,39,None,197205,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_346,658203217052,ABCDE8747F,2,56078,Yes,2,225931,Unemployed,50,None,108808,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_288,966199952807,ABCDE3521F,5,45610,No,0,187934,Employed,29,Rent,241281,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_335,743923008272,ABCDE8281F,1,40619,Yes,0,271736,Employed,66,Own,152369,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_51,261307929169,ABCDE9812F,1,95548,No,1,61955,Employed,41,None,33345,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_486,184330867081,ABCDE7053F,2,13609,No,2,182416,Employed,31,None,346524,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_501,475647182474,ABCDE5090F,5,84261,No,0,90201,Employed,65,Rent,87807,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_925,829348338669,ABCDE6838F,5,64495,No,0,239451,Self-Employed,62,None,152910,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_906,756658783346,ABCDE1063F,3,53921,Yes,0,147296,Employed,47,Own,80242,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_129,969787496623,ABCDE6151F,4,77167,Yes,2,79522,Employed,70,Own,139665,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_642,499138082129,ABCDE9331F,0,69111,Yes,1,84513,Employed,26,None,38365,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_683,249920664355,ABCDE2936F,3,36542,Yes,1,60350,Unemployed,57,None,147836,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_475,806314066508,ABCDE5827F,1,68735,No,1,156287,Employed,50,Rent,118664,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_983,659087281397,ABCDE7854F,4,94000,Yes,0,229575,Employed,60,Rent,201191,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_949,333242703544,ABCDE4823F,3,50486,No,2,286446,Employed,32,None,148241,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_293,626023310657,ABCDE6724F,1,49527,No,0,249633,Employed,68,None,208281,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_902,615633943267,ABCDE7303F,0,34130,Yes,1,167414,Employed,59,None,338031,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_7,231478341953,ABCDE5125F,0,27818,No,0,216922,Employed,72,Rent,384280,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_27,558688679409,ABCDE4845F,0,17619,Yes,0,29861,Employed,52,Own,57565,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_956,100746603898,ABCDE4267F,2,72056,No,1,198654,Employed,63,Own,310402,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_935,231487230137,ABCDE5526F,0,76077,No,0,123487,Employed,33,None,26452,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_32,816589723250,ABCDE4594F,4,93949,Yes,0,113928,Employed,44,Rent,37242,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_817,313663357471,ABCDE5058F,5,23257,Yes,1,295382,Employed,33,None,202751,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_120,721462037244,ABCDE5812F,3,97325,No,1,96901,Employed,26,Own,47324,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_550,386353694988,ABCDE9248F,5,8614,No,1,112386,Unemployed,58,None,130703,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_90,354967005216,ABCDE2069F,4,7464,No,1,90514,Employed,47,None,37307,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_387,876233019787,ABCDE3480F,2,77729,No,1,57747,Employed,43,None,145962,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_516,154330606158,ABCDE7888F,2,23152,No,1,267927,Employed,39,None,291920,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_721,289740149787,ABCDE1159F,5,65559,Yes,2,282040,Unemployed,42,Own,324499,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_363,411076936228,ABCDE4999F,5,18123,No,2,254193,Unemployed,70,None,326030,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_20,447444754820,ABCDE8655F,3,62961,Yes,1,174621,Employed,68,Own,292256,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_292,998025669721,ABCDE6893F,0,23330,No,1,144477,Unemployed,73,Rent,135001,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_240,302584770782,ABCDE5772F,3,12096,Yes,1,206572,Unemployed,55,Own,183979,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_137,879594164373,ABCDE5720F,2,28149,Yes,2,224371,Unemployed,49,Own,301045,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_880,897940968593,ABCDE4888F,5,10328,No,2,26513,Unemployed,57,Rent,80409,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_155,984860988773,ABCDE2810F,2,60676,Yes,0,156144,Employed,50,Rent,225149,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_713,728705073752,ABCDE1245F,5,17132,Yes,0,137246,Employed,49,Rent,61343,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_900,945676638118,ABCDE7348F,2,38590,No,2,130700,Unemployed,46,None,105053,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_658,620534681765,ABCDE4834F,5,33424,Yes,1,245481,Self-Employed,20,Rent,319046,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_897,101761257648,ABCDE3791F,1,5929,No,1,175958,Employed,44,Rent,227070,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_968,857762694741,ABCDE6663F,1,8331,Yes,1,39582,Employed,50,None,35603,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_486,939557628988,ABCDE9043F,4,86499,Yes,0,267421,Unemployed,27,Rent,210718,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_254,130704842569,ABCDE3238F,1,54329,Yes,2,176973,Employed,30,Rent,347670,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_970,602322962853,ABCDE5235F,1,29558,No,0,117969,Employed,25,Own,143564,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_424,317091416893,ABCDE5599F,1,76280,Yes,2,98747,Employed,44,Rent,97438,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_444,839160191713,ABCDE8945F,1,45777,Yes,1,238412,Employed,35,Rent,106257,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_443,650359252786,ABCDE1885F,5,80989,Yes,1,123454,Employed,35,Own,98674,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_501,809953469943,ABCDE8386F,2,91785,Yes,0,118652,Self-Employed,30,Own,91793,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_177,371881487045,ABCDE4949F,2,88819,No,0,222384,Self-Employed,41,None,357900,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_654,955214558917,ABCDE6029F,2,71941,Yes,2,99776,Employed,63,None,108180,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_989,256377401156,ABCDE9207F,5,37081,No,0,235086,Unemployed,52,Own,300178,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_700,307390168826,ABCDE3880F,4,70017,Yes,2,269015,Employed,30,Rent,258263,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_161,413768252975,ABCDE4972F,1,51967,No,0,287541,Employed,31,None,129614,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_286,369474972609,ABCDE7737F,4,10085,Yes,0,201226,Employed,75,None,289537,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_329,879532327061,ABCDE2935F,5,27655,Yes,1,112564,Employed,53,None,54306,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_667,128624285584,ABCDE4980F,4,93423,No,2,184896,Unemployed,30,None,392741,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_753,922294536601,ABCDE7483F,1,68776,No,1,249948,Employed,33,Own,325926,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_562,231999799590,ABCDE2521F,2,45870,Yes,1,181039,Employed,25,Own,385996,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_256,115745558738,ABCDE5647F,0,78299,No,0,168561,Unemployed,27,Own,168931,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_930,976890571230,ABCDE9337F,4,62671,Yes,2,77242,Unemployed,34,Rent,35202,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_260,175605090391,ABCDE6037F,3,73146,No,0,210165,Self-Employed,41,Own,382840,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_189,518864941861,ABCDE4396F,0,59999,No,1,82660,Employed,25,None,78042,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_359,333029175808,ABCDE6536F,1,7222,No,2,148786,Unemployed,67,Rent,74670,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_33,389620514436,ABCDE3292F,2,67560,No,0,147986,Self-Employed,44,None,100378,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_380,715976017008,ABCDE6567F,5,8117,No,1,138406,Self-Employed,74,Own,48204,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_138,677867777646,ABCDE2632F,4,10350,Yes,2,155559,Employed,34,Rent,343971,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_16,212833786934,ABCDE2355F,2,66097,Yes,1,75938,Self-Employed,55,None,136312,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_467,548438819713,ABCDE9493F,2,97044,Yes,2,137385,Employed,62,None,22487,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_350,455497306239,ABCDE7290F,3,11099,No,2,193769,Unemployed,57,Own,379532,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_958,520201399945,ABCDE3549F,1,24806,Yes,1,28779,Unemployed,75,Own,135116,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_757,908637291283,ABCDE8695F,3,22417,Yes,1,34719,Unemployed,30,Own,28903,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_989,678346956087,ABCDE6756F,3,95891,Yes,2,90692,Unemployed,20,Own,133853,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_638,965898076307,ABCDE9270F,2,16125,Yes,1,235215,Self-Employed,60,Own,146867,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_962,426451747407,ABCDE3480F,5,7948,Yes,1,40476,Unemployed,34,None,73264,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_823,705815413110,ABCDE1142F,4,58388,No,0,86253,Unemployed,68,Own,82583,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_248,616715585334,ABCDE1720F,4,48303,No,1,152059,Employed,69,Own,337642,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_896,382425514792,ABCDE1876F,4,92506,Yes,1,101606,Unemployed,31,None,21542,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_456,819848891135,ABCDE8877F,4,83159,No,0,247680,Employed,39,Rent,149256,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_226,880725677584,ABCDE4283F,4,11918,No,1,124629,Self-Employed,33,Own,51572,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_599,952543359781,ABCDE5305F,0,29336,Yes,0,120722,Employed,57,None,71603,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_693,216418300441,ABCDE9515F,5,68024,No,0,111050,Self-Employed,51,Rent,120226,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_237,918553056076,ABCDE5552F,0,32997,No,0,298967,Self-Employed,27,None,184877,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_818,470659969161,ABCDE5909F,0,56505,Yes,2,69807,Self-Employed,29,Own,147099,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_319,539154807986,ABCDE2008F,1,38046,Yes,1,208042,Employed,21,Rent,198611,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_901,823600418967,ABCDE6602F,5,60064,No,1,222136,Employed,55,Own,385270,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_642,247984953709,ABCDE1423F,0,86124,No,0,213520,Employed,36,Rent,105028,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_130,777768876849,ABCDE6290F,5,53433,Yes,0,240758,Unemployed,19,Own,193030,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_230,221279323389,ABCDE8348F,5,26945,Yes,1,239568,Unemployed,18,None,296445,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_220,101926616687,ABCDE6467F,3,44752,No,2,228833,Employed,65,Rent,226509,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_280,296606179135,ABCDE1936F,0,84316,Yes,1,223606,Self-Employed,22,Own,326974,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_812,671645538576,ABCDE4702F,4,69475,Yes,2,183994,Employed,40,Rent,333542,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_945,818186743573,ABCDE9200F,3,93018,Yes,1,122480,Self-Employed,55,Rent,97254,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_843,471657517754,ABCDE1495F,5,76985,Yes,2,33038,Unemployed,62,Own,123942,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_415,545115716203,ABCDE9955F,1,84240,No,1,108838,Self-Employed,33,Own,42015,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_435,675650112282,ABCDE8294F,1,70995,Yes,2,143131,Employed,66,Own,141901,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_154,511300999922,ABCDE5390F,3,79848,Yes,1,138513,Self-Employed,64,Rent,122909,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_999,205645817530,ABCDE3469F,0,81220,No,0,75244,Employed,69,Own,83514,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_772,835442268888,ABCDE6637F,1,92747,Yes,2,145114,Employed,29,Rent,137929,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_468,725986325903,ABCDE5544F,0,34007,No,1,223298,Employed,33,Own,233358,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_920,885532631836,ABCDE3456F,2,48433,Yes,2,289437,Employed,70,Own,307068,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_922,409725193049,ABCDE9927F,0,14233,Yes,2,262828,Employed,29,Rent,326062,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_72,783215972120,ABCDE9214F,5,80710,Yes,2,69512,Unemployed,26,None,133312,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_273,160597417729,ABCDE8316F,1,56423,Yes,2,32956,Employed,63,None,134989,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_635,666070412801,ABCDE1494F,1,60308,No,1,251450,Self-Employed,68,Rent,163147,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_290,704754169658,ABCDE9479F,0,99356,Yes,1,116014,Employed,29,None,89603,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_102,985258811816,ABCDE8249F,3,50011,No,0,284961,Employed,42,Rent,293697,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_62,335450667347,ABCDE4118F,0,48758,Yes,1,214756,Self-Employed,27,Own,299151,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_170,839694717420,ABCDE8608F,4,74876,Yes,0,130563,Employed,33,Rent,69511,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_321,549280077937,ABCDE8328F,0,72112,Yes,1,61993,Employed,43,Rent,24673,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_1000,941104937379,ABCDE5968F,0,78010,Yes,2,162660,Employed,43,None,391813,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_587,387371095358,ABCDE5779F,0,14326,Yes,0,252127,Self-Employed,67,Rent,324521,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_650,138921853993,ABCDE9806F,1,12270,Yes,1,214974,Employed,49,Own,388145,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_396,225551704878,ABCDE2081F,0,93905,No,2,193113,Self-Employed,42,Own,130997,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_544,495430755592,ABCDE7845F,1,69243,Yes,2,132778,Employed,33,None,120330,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_540,241829813961,ABCDE6877F,3,89826,Yes,1,258206,Unemployed,72,None,307759,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_390,514301424490,ABCDE5067F,0,6618,No,0,227862,Employed,64,None,290183,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_49,115863667076,ABCDE7733F,1,18803,No,1,291407,Employed,33,Rent,134752,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_798,686203424573,ABCDE4628F,4,93623,No,1,285947,Employed,65,None,340889,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_136,742806777124,ABCDE2487F,4,40777,No,0,154365,Unemployed,74,Rent,254449,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
