Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
Person_616,1.34976E+11,ABCDE4520F,1,50731,No,1,271728,Employed,56,Own,200450,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_135,7.51554E+11,ABCDE7984F,5,60757,No,0,193233,Employed,65,,335931,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_491,5.87314E+11,ABCDE3172F,2,38373,No,0,225995,Employed,29,,201373,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
Person_51,3.60864E+11,ABCDE7124F,0,52626,No,2,142338,Unemployed,25,,131342,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_959,8.53456E+11,ABCDE3938F,3,47882,No,2,71853,Employed,32,,31809,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_621,8.83203E+11,ABCDE3031F,3,11510,No,0,72557,Unemployed,21,Own,24251,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_439,6.48424E+11,ABCDE8340F,5,40396,No,1,181359,Self-Employed,58,Rent,206903,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_803,8.79624E+11,ABCDE3108F,5,76646,Yes,2,239357,Unemployed,41,Own,375335,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_8,3.29555E+11,ABCDE4635F,2,35901,No,0,228710,Unemployed,36,Rent,293535,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_894,1.55466E+11,ABCDE6618F,3,14625,Yes,2,166388,Self-Employed,19,Rent,354622,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_730,2.34148E+11,ABCDE2660F,0,35524,Yes,2,146316,Unemployed,53,Own,117664,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_952,8.30554E+11,ABCDE1153F,2,32950,No,2,192458,Self-Employed,63,Own,236540,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,NO
Person_45,9.22398E+11,ABCDE1784F,2,16368,Yes,2,279029,Employed,39,Own,302907,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_300,8.69807E+11,ABCDE8468F,1,84177,Yes,0,225459,Employed,73,Rent,359524,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_325,8.54155E+11,ABCDE3743F,0,96765,No,2,106035,Unemployed,24,Rent,34470,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_576,3.60792E+11,ABCDE2730F,1,37087,Yes,0,165303,Unemployed,75,Own,217673,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_123,5.48572E+11,ABCDE9479F,3,55036,No,0,227120,Employed,55,Rent,112726,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
Person_306,2.53842E+11,ABCDE3561F,3,92678,No,0,241174,Unemployed,34,Rent,267975,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_533,4.37429E+11,ABCDE4613F,5,94386,No,1,142376,Unemployed,42,Rent,123855,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_737,6.68627E+11,ABCDE6943F,3,7912,Yes,2,114316,Employed,70,Rent,85806,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_963,3.72789E+11,ABCDE3012F,2,12887,No,1,269468,Employed,51,Rent,172591,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_721,5.42728E+11,ABCDE9746F,5,80969,No,2,235030,Unemployed,71,,146765,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_622,6.06084E+11,ABCDE5430F,1,72174,No,1,129350,Self-Employed,24,,101247,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_248,1.08256E+11,ABCDE4516F,5,16463,No,0,131801,Self-Employed,51,,67223,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_29,2.37585E+11,ABCDE3001F,4,90195,Yes,1,253741,Unemployed,74,,316750,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
Person_607,3.39097E+11,ABCDE8086F,3,31821,Yes,2,277196,Self-Employed,23,Own,222546,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_897,9.50522E+11,ABCDE1989F,5,22105,No,2,120039,Self-Employed,65,Own,56316,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_966,6.16272E+11,ABCDE8913F,1,53139,No,2,136214,Unemployed,69,Rent,37249,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
Person_673,8.43664E+11,ABCDE1893F,4,99019,No,2,91177,Self-Employed,69,,123923,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_65,6.85898E+11,ABCDE6769F,5,38800,No,0,154434,Unemployed,50,Own,175664,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_38,8.82657E+11,ABCDE3310F,5,49766,No,0,249393,Employed,62,,305144,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
Person_398,2.01459E+11,ABCDE1799F,3,52417,No,2,265959,Self-Employed,49,Rent,140823,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_266,7.09969E+11,ABCDE2131F,4,51850,No,2,191771,Employed,70,,353741,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_66,1.57973E+11,ABCDE4067F,3,6224,Yes,0,125104,Unemployed,42,,125015,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_595,9.91486E+11,ABCDE5148F,0,97765,No,2,63570,Self-Employed,64,Rent,95313,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_863,6.80943E+11,ABCDE8785F,3,28667,Yes,1,177630,Unemployed,24,,154339,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_472,3.4466E+11,ABCDE1062F,5,64540,No,2,212320,Self-Employed,55,Rent,275143,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_571,8.69816E+11,ABCDE9850F,1,77204,No,2,155603,Self-Employed,47,,136745,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_363,4.2619E+11,ABCDE9343F,3,77080,No,2,217765,Self-Employed,73,Rent,384731,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_974,9.88639E+11,ABCDE7358F,4,34738,No,0,66917,Self-Employed,47,Own,138817,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_986,2.93775E+11,ABCDE4804F,1,97361,Yes,2,38603,Employed,31,Own,133593,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_550,6.45499E+11,ABCDE3719F,3,78517,No,2,59740,Unemployed,38,Rent,93388,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_788,8.71628E+11,ABCDE4008F,2,86785,No,0,109028,Self-Employed,25,Own,135360,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_309,8.546E+11,ABCDE3898F,4,79109,No,2,216495,Employed,64,Rent,289141,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_191,5.63593E+11,ABCDE4791F,2,89068,Yes,1,269585,Unemployed,36,Rent,390769,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_785,6.73995E+11,ABCDE6749F,2,60004,No,2,126286,Unemployed,41,Rent,35421,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_534,3.50558E+11,ABCDE3568F,0,8107,Yes,0,83404,Unemployed,46,Own,51808,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_453,6.06174E+11,ABCDE6765F,4,9946,Yes,2,178381,Employed,42,,120036,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_502,4.86714E+11,ABCDE1115F,4,79994,No,1,152927,Unemployed,42,Own,181247,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_522,8.80258E+11,ABCDE8663F,5,72538,Yes,0,251686,Unemployed,40,,207849,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_929,9.48387E+11,ABCDE5819F,0,91353,Yes,0,76003,Unemployed,47,Own,22798,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_939,8.10189E+11,ABCDE7435F,2,95102,Yes,1,181407,Self-Employed,75,Rent,353345,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_245,7.59933E+11,ABCDE3324F,5,84820,Yes,2,33250,Unemployed,18,,27419,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_490,9.17564E+11,ABCDE1884F,0,42500,No,1,50938,Unemployed,29,Own,49510,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_981,9.99115E+11,ABCDE5651F,5,17518,Yes,1,142792,Self-Employed,26,Own,105328,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
Person_924,1.65923E+11,ABCDE3617F,4,11503,Yes,2,202715,Employed,34,Own,196271,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_162,8.36612E+11,ABCDE6701F,3,25322,Yes,2,141477,Self-Employed,28,Rent,116996,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_808,3.97365E+11,ABCDE2941F,4,39147,No,1,109908,Employed,33,Own,32057,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
Person_738,8.15555E+11,ABCDE7690F,3,11558,Yes,1,95642,Self-Employed,24,Rent,45953,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_242,7.65852E+11,ABCDE2960F,4,9193,Yes,2,63016,Unemployed,69,Rent,25668,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
Person_939,6.7952E+11,ABCDE8605F,3,73814,Yes,0,75233,Self-Employed,69,Rent,36925,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_237,1.44304E+11,ABCDE2608F,2,44681,Yes,2,156263,Self-Employed,55,,387233,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_211,3.46758E+11,ABCDE7117F,4,32409,No,2,41615,Unemployed,24,Own,74716,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_510,2.059E+11,ABCDE2309F,2,93004,No,0,124158,Self-Employed,73,Rent,43648,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_579,1.88419E+11,ABCDE9088F,2,76256,No,0,224823,Employed,48,,180304,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_97,2.09642E+11,ABCDE3082F,0,91278,Yes,2,39571,Unemployed,40,Rent,140761,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_661,1.10256E+11,ABCDE7776F,4,80456,Yes,1,176944,Unemployed,58,Rent,356967,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_493,2.7999E+11,ABCDE5818F,5,47023,Yes,2,128683,Employed,40,,128705,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_330,9.71897E+11,ABCDE3403F,2,93775,No,2,214731,Self-Employed,18,,249130,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_221,3.4383E+11,ABCDE7436F,0,49073,No,0,263023,Unemployed,48,Rent,180177,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_760,8.86047E+11,ABCDE1573F,2,74935,Yes,0,80728,Employed,33,,124907,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_435,5.87879E+11,ABCDE1631F,2,89250,Yes,2,39290,Employed,46,Rent,120119,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_505,8.89633E+11,ABCDE6514F,2,41032,Yes,1,297146,Self-Employed,45,Own,345613,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,NO
Person_442,4.94213E+11,ABCDE2006F,3,25586,No,0,258909,Self-Employed,60,Own,329999,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_997,1.07481E+11,ABCDE5250F,5,97056,Yes,0,272192,Unemployed,65,,243243,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_275,9.84487E+11,ABCDE3886F,4,64938,No,0,290878,Self-Employed,63,,203674,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
Person_146,9.41219E+11,ABCDE1654F,5,43801,Yes,0,215591,Employed,68,Own,209637,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_728,5.40788E+11,ABCDE9227F,0,78527,Yes,0,217586,Self-Employed,64,Rent,129758,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_95,5.84792E+11,ABCDE6497F,4,32128,No,0,177849,Employed,49,,116031,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_668,2.3939E+11,ABCDE8548F,5,63436,Yes,0,254745,Unemployed,37,,137224,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_317,1.07917E+11,ABCDE8343F,4,99282,No,1,270782,Employed,47,Own,382264,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_380,3.99968E+11,ABCDE1630F,5,89538,No,1,90517,Employed,72,Rent,35414,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,YES
Person_842,3.75431E+11,ABCDE9234F,3,88268,No,0,221890,Employed,24,,334843,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_378,3.24227E+11,ABCDE5059F,3,67161,Yes,0,53451,Self-Employed,66,Own,57032,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_589,7.17811E+11,ABCDE2171F,5,41557,No,0,179817,Employed,52,Own,127420,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_94,3.79739E+11,ABCDE8449F,5,58394,Yes,2,53351,Unemployed,67,,104098,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_218,4.12065E+11,ABCDE5752F,5,95175,No,1,29147,Unemployed,30,Own,90227,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_237,5.35801E+11,ABCDE4257F,4,10343,No,2,151828,Self-Employed,61,Rent,396673,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_269,2.98694E+11,ABCDE4815F,4,6423,No,0,33783,Unemployed,22,Rent,131115,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_558,1.56306E+11,ABCDE6921F,0,57078,Yes,0,116249,Unemployed,50,Own,120368,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_779,8.1212E+11,ABCDE1648F,5,61044,Yes,2,26294,Self-Employed,49,,120971,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_220,1.68477E+11,ABCDE5460F,0,83932,No,0,203220,Unemployed,57,Own,338391,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_390,5.21769E+11,ABCDE2098F,0,5519,Yes,1,256000,Employed,46,,301349,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_921,1.56018E+11,ABCDE4176F,3,55403,Yes,2,240570,Self-Employed,61,,136308,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_351,2.01597E+11,ABCDE4537F,2,47168,No,0,116215,Unemployed,18,,40642,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_182,5.79181E+11,ABCDE2823F,0,76677,Yes,1,166300,Self-Employed,31,,364742,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_442,7.45593E+11,ABCDE4725F,4,72066,No,2,98885,Employed,31,Rent,61488,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_883,1.36578E+11,ABCDE4911F,3,28605,Yes,0,256223,Self-Employed,35,Own,268556,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_695,1.20176E+11,ABCDE1617F,3,17670,Yes,1,172451,Self-Employed,50,,140007,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_832,9.00947E+11,ABCDE8637F,3,29933,No,2,43628,Unemployed,27,,21479,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_844,4.48935E+11,ABCDE2102F,3,67593,No,2,271302,Self-Employed,28,Rent,231872,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_402,4.06811E+11,ABCDE2873F,1,65633,Yes,1,232794,Self-Employed,46,Own,363135,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
Person_522,4.97191E+11,ABCDE8970F,1,90054,No,0,234895,Self-Employed,63,Rent,137747,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_424,5.8605E+11,ABCDE5901F,1,80022,No,1,83490,Self-Employed,41,,51393,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_654,7.50622E+11,ABCDE1332F,3,68896,Yes,1,58962,Self-Employed,36,Own,73742,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_727,8.38388E+11,ABCDE3915F,4,75079,Yes,2,253561,Employed,71,,372937,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_800,9.69121E+11,ABCDE3574F,1,46265,Yes,1,192693,Employed,60,,281720,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
