Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,ELIGIBILITY CRITERIA
Person_378,7217762399,ABCDE4417F,1,96322,No,1,97829,Employed,73,Rent,160602,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_846,2815060168,ABCDE8980F,5,94973,No,1,954418,Unemployed,18,,43790,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_472,5074533276,ABCDE8461F,3,51716,Yes,0,406724,Employed,44,Rent,201546,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_494,6785364035,ABCDE2023F,4,27012,No,1,692992,Unemployed,44,,65501,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_637,1316144934,ABCDE8641F,4,42303,Yes,1,656561,Employed,19,Own,187343,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_223,2374947227,ABCDE2838F,5,85551,No,2,527384,Unemployed,24,Rent,205793,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_814,3500603157,ABCDE5428F,5,53062,No,2,932674,Employed,38,Rent,465828,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_127,1295795516,ABCDE4184F,4,43948,No,1,462828,Employed,57,Rent,290349,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_832,5235277290,ABCDE3403F,1,33123,No,0,620780,Self-Employed,44,,202993,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_187,4215825454,ABCDE2256F,4,79388,Yes,1,885587,Unemployed,56,Own,90448,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_375,8049551831,ABCDE3276F,3,22458,No,2,961172,Employed,24,Own,304212,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_489,3652703016,ABCDE3988F,0,55103,Yes,1,324406,Self-Employed,50,,277370,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_796,7287535553,ABCDE3941F,1,87643,No,0,404280,Employed,33,Rent,80144,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_448,8923353355,ABCDE7538F,0,47785,Yes,2,422003,Self-Employed,31,,131990,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_22,1960975158,ABCDE2941F,3,27520,Yes,0,612385,Unemployed,33,,423269,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_109,5480478946,ABCDE9504F,0,53131,No,2,615960,Employed,22,Rent,397676,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_159,5349632560,ABCDE6913F,1,42655,No,0,600100,Employed,18,Rent,170792,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_908,3966316388,ABCDE6895F,2,14310,No,0,358480,Employed,57,Own,8294,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_640,6957590707,ABCDE4298F,5,24155,Yes,2,66702,Unemployed,73,Rent,371693,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_128,6186467951,ABCDE5597F,5,60332,No,1,447318,Self-Employed,71,Rent,376108,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_171,1896475258,ABCDE6670F,3,75827,Yes,1,244507,Unemployed,73,Rent,347155,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_477,7746802662,ABCDE8707F,5,41427,Yes,1,421292,Unemployed,42,Rent,376162,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_981,5398866275,ABCDE9601F,3,40393,Yes,1,106521,Unemployed,73,Own,477430,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_561,4524465725,ABCDE9457F,1,13537,No,0,654615,Unemployed,25,Own,211714,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_773,9324726062,ABCDE2466F,0,15389,Yes,0,377043,Self-Employed,39,Rent,183937,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_169,2633059407,ABCDE2515F,4,53869,Yes,1,478529,Unemployed,39,Own,357850,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_509,2970534611,ABCDE9771F,0,98692,Yes,0,107558,Unemployed,37,,312304,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_335,3866454498,ABCDE9121F,1,90816,No,2,528894,Employed,34,Rent,157561,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_587,6421687959,ABCDE3853F,5,60494,No,1,879928,Unemployed,65,Own,462831,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_419,7813542610,ABCDE4565F,0,10966,Yes,2,604270,Unemployed,64,,10252,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_738,1319112693,ABCDE9445F,1,85691,No,1,188163,Self-Employed,49,,311431,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_790,9592089971,ABCDE9231F,0,11731,Yes,1,832512,Unemployed,33,Own,406342,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_300,9722182260,ABCDE9667F,5,41075,No,2,77098,Employed,55,,152529,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_386,4669365572,ABCDE1787F,0,72749,No,2,448553,Employed,31,Rent,107677,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_763,6085710581,ABCDE3372F,5,78901,No,2,225386,Employed,48,,380369,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_953,9018669778,ABCDE2010F,5,21137,Yes,1,701961,Employed,54,,493548,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_674,7053383925,ABCDE6904F,2,53617,No,2,866513,Self-Employed,54,,494122,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_993,2248495258,ABCDE7019F,0,12540,Yes,1,545344,Self-Employed,42,Own,354709,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_711,5125524188,ABCDE3520F,5,6828,No,2,881327,Unemployed,18,Rent,282302,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_767,7710992475,ABCDE3400F,2,82117,Yes,1,920647,Unemployed,24,Own,250569,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_207,4441073068,ABCDE3358F,1,81161,No,2,449561,Employed,71,,216392,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_677,6209714275,ABCDE9197F,2,28818,No,0,816895,Self-Employed,40,Rent,146803,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_589,2068403764,ABCDE9163F,0,39413,Yes,1,145995,Self-Employed,29,,195483,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_923,5777488032,ABCDE2876F,0,34598,No,0,277704,Employed,67,Rent,276748,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_399,8035863927,ABCDE8632F,1,21324,Yes,1,859423,Unemployed,71,Own,282333,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_426,4341988048,ABCDE5100F,4,18798,No,1,254439,Self-Employed,54,Rent,90130,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_989,1340925226,ABCDE6902F,3,71850,No,1,914057,Employed,45,Own,157734,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_910,6387028309,ABCDE7153F,0,13117,No,2,797270,Self-Employed,73,Own,392546,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_714,6123397328,ABCDE8145F,2,85000,No,1,382103,Employed,18,Rent,384603,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_688,1846344891,ABCDE9747F,3,87791,No,0,154486,Employed,27,Own,128375,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_913,1922036211,ABCDE1873F,5,24574,Yes,1,979070,Unemployed,66,,130411,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_994,6406871467,ABCDE2460F,5,8605,Yes,1,850525,Unemployed,56,Rent,353512,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_105,1570201403,ABCDE3312F,1,38283,No,0,469505,Employed,69,Rent,141055,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_557,1804901834,ABCDE2653F,2,72247,No,0,187273,Employed,62,Rent,112457,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_332,3965490512,ABCDE6414F,1,73866,No,2,927138,Employed,66,,291613,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_242,7325750793,ABCDE9105F,4,59036,No,1,665545,Self-Employed,75,Rent,362919,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_711,7336832867,ABCDE4263F,4,13908,Yes,1,186756,Unemployed,67,Rent,343949,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_414,1642287436,ABCDE7727F,4,89792,Yes,1,181428,Unemployed,46,Own,92768,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_577,8923918697,ABCDE8759F,4,75884,No,2,913378,Employed,74,Own,7593,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_255,4701199667,ABCDE5527F,5,68580,Yes,0,829141,Self-Employed,62,Rent,404655,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_75,4288782437,ABCDE9634F,0,93670,Yes,1,861470,Unemployed,35,Own,80013,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_377,5822682111,ABCDE4290F,0,51501,Yes,2,249890,Self-Employed,35,Own,52312,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_734,2492004564,ABCDE6309F,5,68321,Yes,0,602552,Employed,72,Rent,426422,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_288,4634308940,ABCDE7122F,2,9745,Yes,1,331585,Employed,38,Rent,268548,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_114,4379850613,ABCDE4015F,3,42504,Yes,2,575818,Self-Employed,34,Rent,128481,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_570,2523071244,ABCDE7507F,0,58755,No,0,919289,Self-Employed,50,Own,209855,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_639,9505567084,ABCDE6756F,4,29207,No,0,602362,Self-Employed,28,,193201,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_699,5778835924,ABCDE2309F,4,27584,No,2,249952,Employed,34,,150803,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_463,9390866588,ABCDE7922F,0,15084,Yes,0,256168,Unemployed,36,Rent,231433,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_573,9600517339,ABCDE4632F,5,43786,No,0,722038,Employed,47,,253189,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_107,6386215974,ABCDE5609F,4,66124,No,1,694062,Self-Employed,52,Rent,315457,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_335,6096141812,ABCDE1667F,1,41564,No,2,843440,Unemployed,53,Own,441490,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_533,7455638033,ABCDE9085F,4,14245,No,2,454079,Unemployed,51,Own,162604,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_412,5986261242,ABCDE2019F,3,92689,Yes,1,531439,Employed,29,Rent,18941,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_56,1480973147,ABCDE8900F,1,54039,No,2,674704,Unemployed,29,,138572,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_206,7929596185,ABCDE9137F,0,59855,Yes,0,445328,Self-Employed,29,Rent,135684,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_847,8748937790,ABCDE2635F,2,56449,Yes,1,954534,Self-Employed,39,Own,375115,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_831,8507655860,ABCDE3232F,4,78798,Yes,0,693321,Employed,23,,119538,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_144,1644020025,ABCDE5349F,3,26717,Yes,2,591430,Employed,26,,129085,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_413,1865344902,ABCDE2968F,2,71547,Yes,0,287727,Employed,47,Own,126760,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_204,2419543916,ABCDE8385F,3,17692,No,0,763597,Employed,48,Own,460894,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_225,7516424095,ABCDE2350F,5,63803,No,1,459338,Self-Employed,30,,88992,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_508,7260807630,ABCDE1232F,1,26147,No,1,50788,Employed,23,,150979,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_830,5956551546,ABCDE9453F,3,88071,No,0,899634,Unemployed,63,Rent,98700,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_761,6132053188,ABCDE6864F,2,68978,Yes,1,148565,Employed,68,Rent,439993,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_716,7122436665,ABCDE7045F,4,26879,Yes,1,474385,Unemployed,67,Rent,237556,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_335,5363147347,ABCDE1453F,0,65643,No,0,677297,Employed,73,Rent,302959,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_647,6954178035,ABCDE9800F,3,52578,No,0,765340,Self-Employed,24,Own,244523,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_700,4004871117,ABCDE5276F,3,19059,No,1,287568,Employed,18,Own,9197,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_824,7873133774,ABCDE5224F,4,40926,No,1,178998,Self-Employed,64,,28417,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_722,4907128257,ABCDE5157F,2,32184,No,2,334225,Employed,64,Own,107189,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_630,4188548279,ABCDE5167F,0,79208,Yes,0,949740,Employed,35,,235603,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_745,3697029156,ABCDE3658F,3,48878,Yes,1,621937,Employed,28,Rent,368929,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_863,6650084501,ABCDE2184F,1,45306,Yes,2,884896,Employed,43,Own,236433,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_217,7171533961,ABCDE6450F,5,78357,No,1,491440,Unemployed,66,,137067,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_276,6533618588,ABCDE4680F,0,31629,Yes,2,150355,Employed,67,,375675,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_970,1769881915,ABCDE6805F,4,97168,No,1,652154,Self-Employed,18,Rent,15217,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_342,3924651295,ABCDE5696F,5,57310,Yes,0,202685,Employed,36,Own,215788,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_534,7052628405,ABCDE6204F,0,35156,No,2,886220,Self-Employed,40,Rent,239312,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_829,6731580725,ABCDE2445F,5,51153,Yes,1,106637,Employed,63,Own,115824,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_324,2239342222,ABCDE7055F,0,15326,Yes,2,373436,Employed,50,Rent,311687,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_698,2093362641,ABCDE1753F,4,16452,No,2,122445,Employed,59,Own,146973,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_494,8394246977,ABCDE5366F,5,18318,No,0,392367,Self-Employed,67,,275807,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_329,4160420768,ABCDE3551F,2,30917,No,1,255809,Employed,68,Rent,33899,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_203,5873046087,ABCDE7160F,2,86591,No,0,57146,Employed,71,Rent,448788,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_203,3781035942,ABCDE8033F,2,85017,No,0,653093,Self-Employed,22,,64593,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_105,9628832012,ABCDE3982F,2,15256,Yes,0,711431,Unemployed,63,,180333,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_201,1428008172,ABCDE4417F,4,42055,No,0,864322,Unemployed,63,,411304,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_985,6573553114,ABCDE7586F,1,56642,No,0,981335,Employed,29,Rent,153221,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_713,6835100679,ABCDE1611F,0,10161,No,0,159393,Employed,23,,212164,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_590,5810564341,ABCDE4016F,5,48662,Yes,0,225344,Self-Employed,29,Rent,266316,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_752,1406711180,ABCDE1107F,3,83768,No,2,810315,Employed,51,Rent,165963,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_730,7598881787,ABCDE2293F,4,72424,No,0,108862,Employed,53,Own,391562,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_754,5631370730,ABCDE6265F,0,21674,No,2,368094,Self-Employed,48,,4834,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_365,1673090712,ABCDE9024F,1,92137,Yes,2,282627,Self-Employed,62,Own,88302,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_653,7031847398,ABCDE3631F,3,67820,No,2,298121,Self-Employed,36,Rent,161466,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_618,5257899629,ABCDE5192F,4,58110,Yes,1,153511,Self-Employed,39,Own,146495,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_274,5889730302,ABCDE2071F,5,26900,No,1,593508,Self-Employed,27,,44667,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_495,7560224366,ABCDE2963F,5,50145,No,0,482499,Employed,70,Rent,94056,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_263,7796513022,ABCDE8752F,2,48481,No,1,914412,Employed,25,,274073,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_437,4488740857,ABCDE6717F,4,60839,Yes,2,120472,Self-Employed,23,Own,157363,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_306,2224225318,ABCDE5452F,1,44866,Yes,2,59290,Unemployed,58,Own,26767,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_798,7939508635,ABCDE8957F,4,67472,Yes,2,978134,Unemployed,25,,366482,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_108,8361909405,ABCDE2013F,3,97486,No,1,902040,Employed,33,Rent,466808,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_712,9351850845,ABCDE6961F,0,86395,Yes,1,796263,Unemployed,48,Rent,68041,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_671,3440462888,ABCDE3365F,2,87567,No,1,554171,Employed,51,Own,288570,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_880,8937208324,ABCDE9876F,2,51472,No,0,422127,Unemployed,33,,166064,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_648,8750080974,ABCDE5245F,0,13244,Yes,0,384425,Unemployed,31,Own,485580,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_26,4028966339,ABCDE5255F,3,53243,No,0,826562,Employed,31,,372884,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_951,1304344607,ABCDE4106F,5,5665,Yes,0,409533,Unemployed,71,Rent,246318,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_786,2884404147,ABCDE4705F,4,8276,No,2,752325,Unemployed,23,Own,296598,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_780,4152464475,ABCDE6132F,0,82134,Yes,1,214174,Self-Employed,21,Rent,412981,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_416,9858761812,ABCDE1229F,1,36237,Yes,2,137452,Self-Employed,48,Rent,239408,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_866,8873113740,ABCDE7414F,0,28617,Yes,2,636490,Employed,66,,58336,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_654,5670327532,ABCDE9343F,3,52256,Yes,2,547468,Unemployed,40,Rent,268376,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_479,4733404328,ABCDE9534F,0,86777,No,1,108686,Employed,46,,172655,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_118,2052586965,ABCDE7483F,1,89982,No,0,886798,Employed,40,,201850,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_205,6296112432,ABCDE3767F,0,43164,Yes,1,324198,Employed,62,Own,436997,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_653,5220999879,ABCDE5729F,1,93178,Yes,2,961124,Employed,19,Own,172047,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_739,8896982328,ABCDE7976F,5,19208,Yes,0,588804,Self-Employed,46,,309039,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_163,4539321697,ABCDE2524F,1,62733,Yes,2,425680,Employed,38,Rent,460942,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_514,4188765515,ABCDE2935F,4,18971,No,1,188395,Unemployed,32,Rent,455883,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_898,3308528914,ABCDE1788F,0,87964,No,2,738432,Self-Employed,70,Rent,218024,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_723,6180370018,ABCDE9303F,2,34603,Yes,1,122747,Self-Employed,59,Rent,260094,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_248,1410288808,ABCDE7399F,2,8214,Yes,1,582175,Unemployed,52,Own,443292,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_301,9038480399,ABCDE5508F,3,78772,Yes,2,787836,Unemployed,23,,193387,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_611,2749407164,ABCDE3951F,5,42035,Yes,1,103688,Self-Employed,40,,361005,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_526,4322673142,ABCDE1085F,5,28830,No,0,616173,Self-Employed,19,,399309,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_372,9582430439,ABCDE5796F,1,5012,No,1,640556,Employed,35,Own,210876,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_499,2729994876,ABCDE3024F,1,71405,Yes,2,70123,Unemployed,49,Rent,193753,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_44,6768277995,ABCDE5031F,0,10527,No,1,94704,Employed,57,Own,267146,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_112,2466384510,ABCDE9567F,3,79230,No,2,744758,Self-Employed,48,,176912,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_669,7459637619,ABCDE7006F,5,18351,Yes,0,325262,Self-Employed,58,Own,194053,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_197,6832192934,ABCDE1220F,2,56925,Yes,0,451239,Self-Employed,27,,244259,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_216,6796060996,ABCDE2759F,0,35510,No,0,744924,Unemployed,60,Own,298196,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_903,8574995954,ABCDE3954F,4,93869,No,1,364320,Self-Employed,47,Rent,220935,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
