Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
3121985413,ABCDE1739F,5,96276,Yes,0,50625,Employed,53,No Property,136216,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
7818463893,ABCDE9929F,4,9803,No,0,212573,Employed,72,Own,192573,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
5511081073,ABCDE1069F,5,82284,No,1,240232,Employed,33,No Property,325517,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
8017668662,ABCDE3758F,1,60653,Yes,2,90181,Employed,20,Rent,41660,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
3109361582,ABCDE2554F,5,42325,Yes,2,72086,Employed,19,No Property,135809,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
8735054969,ABCDE3553F,1,23158,No,2,217035,Employed,49,Own,107061,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
4171412941,ABCDE4748F,2,7882,No,0,176640,Employed,68,Own,319522,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
4471362579,ABCDE4431F,4,55646,Yes,2,136948,Employed,70,Rent,143656,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
4295865600,ABCDE7349F,0,24384,No,0,259883,Employed,52,Own,140684,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
6553948884,ABCDE1716F,1,77395,Yes,2,256830,Employed,46,Rent,395240,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
8248561885,ABCDE8127F,0,7290,Yes,1,141886,Unemployed,60,No Property,126857,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
7212447127,ABCDE4670F,3,29602,Yes,0,132237,Self-Employed,64,Own,103098,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
6787648721,ABCDE7140F,1,95074,Yes,0,292327,Employed,34,Own,346617,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
3411724076,ABCDE7273F,4,22223,Yes,0,239166,Unemployed,26,No Property,238283,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
1418694990,ABCDE1199F,1,17336,No,2,25910,Unemployed,37,Own,108308,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
7339116366,ABCDE6594F,0,32066,Yes,1,150112,Employed,72,Rent,205619,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
7367184034,ABCDE5438F,3,70089,No,0,34188,Unemployed,56,Rent,62399,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
5546484974,ABCDE2716F,5,88244,No,2,140832,Unemployed,62,No Property,102571,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
2698610006,ABCDE1257F,2,31076,No,2,297484,Employed,62,No Property,381002,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
4646346583,ABCDE4594F,4,52471,Yes,0,166682,Employed,48,Own,205929,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
3158891267,ABCDE6250F,4,66334,No,0,148310,Self-Employed,73,Own,74125,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
8308297638,ABCDE6591F,4,95278,Yes,0,96898,Employed,32,Own,131115,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
6574529442,ABCDE6854F,2,27624,Yes,1,29534,Employed,43,Own,47293,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
3534892340,ABCDE8218F,4,32793,No,2,283315,Employed,35,Own,154421,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
9616246514,ABCDE3322F,3,92319,No,1,233490,Employed,42,No Property,348867,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
1391461190,ABCDE9178F,5,57023,No,2,130150,Employed,38,No Property,115833,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
2827587717,ABCDE7175F,3,10648,No,0,235599,Employed,45,Own,266449,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
5631408479,ABCDE4762F,0,43870,Yes,1,141857,Employed,44,No Property,91762,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
5070250294,ABCDE6486F,3,23997,Yes,1,192785,Unemployed,51,Rent,248649,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
7814142715,ABCDE8024F,1,22803,Yes,2,151319,Unemployed,24,Own,391976,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
8439882089,ABCDE7326F,3,81624,No,2,85294,Employed,37,Rent,81112,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
2234823195,ABCDE5942F,4,79547,Yes,0,212867,Employed,34,Own,125773,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
1487010441,ABCDE2755F,5,42617,Yes,1,248286,Employed,29,No Property,142588,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
2173621183,ABCDE7313F,0,64275,No,2,140767,Employed,29,No Property,74243,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
6083920141,ABCDE4440F,0,38232,Yes,2,270572,Unemployed,53,Rent,375513,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
4868711409,ABCDE7914F,5,26841,Yes,2,298024,Employed,34,No Property,181414,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
9157169923,ABCDE6459F,0,50093,No,2,57910,Employed,61,Own,125749,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
3823665588,ABCDE2072F,0,47483,Yes,1,298304,Employed,64,Rent,184075,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
1414549000,ABCDE6288F,2,33630,Yes,2,93124,Employed,62,Rent,31529,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
5991478336,ABCDE3491F,5,63103,Yes,0,290696,Employed,39,Rent,369182,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
8676385908,ABCDE4310F,0,25607,Yes,0,30515,Self-Employed,19,Rent,95555,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
5131275397,ABCDE4211F,1,62070,No,2,39940,Self-Employed,29,Own,53340,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
8428173633,ABCDE4257F,1,40768,Yes,2,284754,Employed,41,No Property,182531,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
5630208291,ABCDE1745F,3,53901,No,1,131097,Employed,57,No Property,50178,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
5526350323,ABCDE3590F,5,84691,No,0,77554,Employed,39,Own,68505,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
8795550602,ABCDE5196F,0,32316,Yes,1,127606,Employed,54,Rent,105231,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
9852772929,ABCDE6849F,2,63192,No,1,112062,Self-Employed,70,Own,141196,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
6180605649,ABCDE3365F,0,42559,Yes,2,202759,Employed,75,Own,126392,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
7880973049,ABCDE2505F,1,19599,No,1,254180,Self-Employed,27,Own,340787,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
6665387167,ABCDE5531F,5,72415,Yes,1,70411,Self-Employed,50,Own,64108,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
1632672110,ABCDE7623F,2,46413,No,0,195368,Employed,26,No Property,387679,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
8007657852,ABCDE4760F,5,42039,No,0,39847,Self-Employed,32,Own,33156,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
1885695634,ABCDE2483F,3,34144,Yes,1,169416,Unemployed,34,No Property,246216,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
5636773305,ABCDE8114F,0,90650,Yes,2,171504,Employed,41,Own,348111,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
5962634412,ABCDE1789F,2,8887,Yes,0,152568,Employed,54,Own,371454,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
2069720606,ABCDE3157F,5,84709,Yes,0,190133,Self-Employed,18,No Property,136799,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
3897161763,ABCDE9276F,5,15805,No,1,166476,Self-Employed,21,Rent,332188,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
5994735728,ABCDE6991F,3,46570,No,2,152794,Employed,65,Rent,315923,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
7439641485,ABCDE1873F,0,54589,Yes,1,156722,Employed,47,Own,172126,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
5543763967,ABCDE7329F,3,9127,No,2,79742,Employed,23,Own,99556,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
5781818449,ABCDE6044F,1,80839,Yes,0,262062,Employed,38,No Property,254212,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
3221239253,ABCDE1642F,4,53708,No,2,112406,Employed,33,No Property,20543,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
5950289574,ABCDE3738F,0,85517,Yes,1,66701,Employed,73,Rent,45070,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
2461773840,ABCDE8814F,3,31078,No,1,129676,Employed,59,No Property,109313,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
9137772199,ABCDE5175F,0,45710,No,1,94485,Employed,45,Own,125190,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
4386526806,ABCDE7071F,0,55119,No,1,152839,Employed,33,No Property,229486,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
6434213000,ABCDE1438F,5,23879,No,0,251801,Unemployed,36,No Property,397522,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
6895165277,ABCDE8853F,3,94584,Yes,1,69264,Employed,24,Own,93385,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
8199371694,ABCDE2500F,0,81539,No,1,131522,Unemployed,69,Own,23048,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
2375742024,ABCDE2460F,2,90398,No,0,134834,Unemployed,31,Own,77650,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,YES
3372465549,ABCDE1912F,2,78408,Yes,0,202587,Unemployed,27,Own,296757,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
1327509553,ABCDE5304F,3,19570,Yes,1,281538,Employed,60,Own,229948,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,NO
8841389703,ABCDE1187F,4,60904,Yes,1,186881,Employed,69,Rent,350777,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
7910141483,ABCDE6255F,4,86688,Yes,1,110509,Unemployed,43,Own,76758,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
2513616474,ABCDE6955F,2,11132,No,2,49444,Unemployed,23,No Property,65267,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
6023922325,ABCDE7106F,1,13470,No,1,289705,Employed,64,Own,157638,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
9496075637,ABCDE3898F,0,26267,Yes,0,76222,Unemployed,66,No Property,51244,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
3948847071,ABCDE2837F,4,51204,Yes,0,182855,Employed,72,Own,116778,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
3780291423,ABCDE2985F,5,21157,No,0,250851,Employed,74,Rent,209654,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
9107081565,ABCDE3799F,2,76663,No,1,92214,Employed,47,No Property,117483,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
2387476575,ABCDE9531F,4,22626,No,2,55839,Employed,36,No Property,67821,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
3612962406,ABCDE3121F,2,13826,Yes,1,209225,Employed,27,No Property,101251,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
2551954609,ABCDE6164F,5,79273,Yes,1,129547,Unemployed,69,Own,109280,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
2625478494,ABCDE2583F,2,80871,Yes,2,113208,Employed,34,No Property,98257,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
7060113235,ABCDE8276F,2,26766,No,1,192378,Unemployed,18,Own,243324,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
9636194118,ABCDE6603F,2,90333,Yes,0,36291,Employed,42,Own,31382,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
6884108291,ABCDE2056F,1,82690,No,1,92100,Unemployed,18,Own,45006,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
5436499667,ABCDE4113F,1,71600,Yes,1,219125,Employed,39,Own,136578,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
9343617248,ABCDE3621F,2,20869,Yes,0,66731,Employed,39,Rent,132590,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
7142596449,ABCDE3981F,1,11613,No,2,123242,Self-Employed,48,Own,149752,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
9201095947,ABCDE8099F,3,99223,No,1,62142,Employed,58,Rent,21464,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
9626780513,ABCDE7877F,4,9238,Yes,0,39647,Employed,70,Own,63328,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
9551034673,ABCDE6651F,4,50286,No,0,125807,Unemployed,27,Own,139988,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
2431898707,ABCDE6055F,5,85890,No,1,68104,Employed,71,Rent,86725,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
7050863392,ABCDE8712F,1,16214,No,0,129907,Employed,33,Rent,36411,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
9621579385,ABCDE7365F,3,81269,No,1,148915,Employed,19,Rent,51564,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
1710439795,ABCDE1205F,5,15018,Yes,0,80854,Self-Employed,53,Rent,27211,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
8251697589,ABCDE4211F,4,89817,Yes,2,188092,Unemployed,65,Own,210934,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
1997253552,ABCDE7253F,0,69938,Yes,0,168247,Employed,46,Rent,115980,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
7004073046,ABCDE9104F,5,51300,Yes,0,208954,Self-Employed,74,Rent,278613,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
7581511182,ABCDE3209F,0,14773,Yes,0,34908,Employed,68,No Property,80465,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
9630762081,ABCDE5430F,5,40641,No,0,296649,Employed,30,No Property,273015,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
7519648091,ABCDE4188F,3,81073,No,0,234904,Employed,56,No Property,124843,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
6426788600,ABCDE5474F,2,47543,No,1,64824,Employed,58,Own,22136,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
6195472204,ABCDE4606F,2,57541,No,2,111870,Employed,48,No Property,112987,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
8314511033,ABCDE2450F,5,85062,No,0,139418,Self-Employed,37,No Property,140281,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
4219490822,ABCDE4073F,4,19194,Yes,1,263653,Employed,38,No Property,106816,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
6059154348,ABCDE2792F,5,58297,No,2,261755,Unemployed,21,Rent,271867,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
8196514490,ABCDE9268F,2,50316,Yes,0,189617,Employed,19,Rent,189100,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
1657316129,ABCDE1676F,4,59950,Yes,2,78901,Employed,27,Rent,71789,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
4390249655,ABCDE3940F,0,89762,Yes,1,197936,Employed,20,Rent,111575,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
2617848928,ABCDE2652F,5,64868,No,2,243230,Employed,70,Own,151133,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
5817743304,ABCDE7257F,1,15137,Yes,1,169542,Employed,66,No Property,285410,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
9237871560,ABCDE2443F,2,64037,Yes,0,291695,Self-Employed,73,No Property,168801,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
4888908724,ABCDE6549F,3,92647,No,1,205419,Employed,43,No Property,132994,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
9290560288,ABCDE6535F,2,30359,Yes,1,25337,Employed,44,Own,21569,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
2497049691,ABCDE9532F,5,95085,No,2,84961,Self-Employed,73,Own,71596,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
3310805574,ABCDE1430F,1,49127,Yes,1,79659,Employed,24,Own,122151,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
8392059332,ABCDE3029F,4,50008,No,0,154353,Employed,26,No Property,276846,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
6651124508,ABCDE5850F,0,70370,No,2,101385,Employed,38,Own,47108,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
2710648154,ABCDE4254F,3,58528,No,0,114021,Employed,43,No Property,120163,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
6050765258,ABCDE8542F,3,19817,No,2,296059,Employed,21,Own,200743,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
6957207113,ABCDE4109F,3,41230,No,1,138207,Employed,61,Rent,81957,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
3439230591,ABCDE2591F,0,14517,Yes,0,135443,Employed,67,Rent,113580,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
1647102952,ABCDE9304F,5,49427,No,2,256093,Self-Employed,75,Rent,167750,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
6656918662,ABCDE6283F,5,61833,No,2,132782,Employed,52,Own,35536,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
4352399804,ABCDE6436F,5,41359,No,1,115722,Unemployed,73,Own,127362,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
3717366816,ABCDE3638F,5,62507,No,0,51400,Employed,71,No Property,79813,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
4557795431,ABCDE1670F,1,17550,No,0,111702,Self-Employed,20,No Property,107425,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
7291864752,ABCDE3584F,2,39757,Yes,0,165384,Employed,33,No Property,230247,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
8915406861,ABCDE7275F,0,18588,No,1,44444,Unemployed,47,Rent,96034,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
8767519011,ABCDE8902F,0,57082,Yes,1,84488,Unemployed,69,Own,123019,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
9403983886,ABCDE4182F,1,14774,Yes,2,235803,Employed,29,Rent,200025,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
2326949804,ABCDE1965F,1,33273,No,1,291801,Employed,66,No Property,251406,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
2312013367,ABCDE4508F,0,48552,No,2,192691,Self-Employed,62,Own,359724,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
9485394793,ABCDE3007F,4,84789,Yes,1,219579,Self-Employed,24,No Property,223553,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
9606315362,ABCDE8497F,2,90175,Yes,1,126775,Employed,36,No Property,96305,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
4693496280,ABCDE5166F,1,73512,No,1,50250,Unemployed,43,Rent,131306,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
7195782879,ABCDE9368F,3,81563,Yes,1,257465,Employed,34,Own,210824,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
7743629906,ABCDE6565F,0,95616,No,2,161537,Employed,25,Own,120719,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
2699513215,ABCDE9159F,0,29736,Yes,0,238598,Employed,20,Own,192432,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
3129481476,ABCDE7880F,5,32202,Yes,0,185640,Employed,70,Own,182521,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
9796347529,ABCDE1860F,5,9738,Yes,0,286118,Employed,48,No Property,225488,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
2451481273,ABCDE2191F,3,83558,Yes,2,64610,Employed,72,No Property,25105,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
3077311830,ABCDE7343F,0,70701,Yes,2,124804,Self-Employed,36,Own,101608,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
2349349208,ABCDE1314F,0,88122,No,1,263016,Self-Employed,66,Own,316873,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
4136581335,ABCDE1595F,4,95783,No,1,253428,Unemployed,35,Own,247511,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
6545931081,ABCDE5523F,0,5368,No,1,245410,Employed,75,No Property,234368,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
7918708389,ABCDE1389F,2,79541,No,2,154682,Unemployed,41,Rent,261066,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
8766778783,ABCDE8767F,5,87653,No,1,270168,Employed,27,Own,201742,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
6408365429,ABCDE7586F,5,22289,Yes,1,266472,Self-Employed,62,No Property,256592,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
4564213107,ABCDE8661F,0,16033,Yes,2,287835,Self-Employed,29,Own,390924,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
8509496768,ABCDE3034F,0,55205,Yes,1,272032,Self-Employed,26,Rent,169435,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
2976717748,ABCDE2931F,0,92014,No,0,252455,Self-Employed,58,Rent,108560,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
5569192592,ABCDE6192F,4,63796,Yes,1,40190,Employed,54,No Property,108875,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
5535572023,ABCDE3792F,0,61566,Yes,2,84517,Unemployed,18,Rent,115021,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
1426742628,ABCDE6870F,3,32419,No,2,257940,Self-Employed,72,Rent,339720,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
4560756314,ABCDE2485F,3,8612,No,0,169335,Employed,41,Own,355993,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
5401756581,ABCDE9955F,2,72337,No,1,95709,Employed,21,Own,125693,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
3384035685,ABCDE7460F,3,95853,Yes,2,28259,Employed,57,No Property,106639,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
6390143704,ABCDE5264F,1,21587,Yes,2,280143,Employed,37,No Property,159181,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
5348134999,ABCDE3632F,3,15703,No,2,154484,Self-Employed,21,Rent,139401,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
2254183149,ABCDE8838F,2,16803,No,0,234281,Self-Employed,39,Rent,210027,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
1309136803,ABCDE8212F,4,81990,Yes,1,77902,Self-Employed,64,No Property,31350,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
