Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
Person_362,370150641093,ABCDE2904F,4,35715,Yes,0,245061,Self-Employed,70,Rent,160648,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_348,848840236246,ABCDE3357F,0,8494,Yes,1,32980,Self-Employed,50,Rent,26452,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_594,265870441759,ABCDE2178F,3,35417,Yes,1,44906,Self-Employed,49,Own,31881,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_362,461772510859,ABCDE9081F,1,93658,Yes,2,48178,Unemployed,25,No Property,43601,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_259,180608517080,ABCDE9197F,1,66801,No,0,276761,Employed,46,Own,181206,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_767,439622086563,ABCDE9558F,0,19594,No,1,48616,Employed,74,Rent,22105,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_847,783282729903,ABCDE8491F,3,13343,No,0,146989,Employed,64,Rent,88893,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_947,189221869190,ABCDE1914F,5,66217,Yes,1,113892,Self-Employed,54,Own,106896,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_996,924888071272,ABCDE3101F,4,83590,Yes,2,281117,Employed,48,No Property,376115,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_602,482620675941,ABCDE8462F,1,99129,Yes,2,247614,Self-Employed,34,No Property,369973,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_56,487285717475,ABCDE5412F,4,93141,No,2,195571,Unemployed,53,No Property,214648,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_814,696515835932,ABCDE5854F,3,47617,No,0,228400,Self-Employed,60,No Property,286944,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_961,309260679786,ABCDE4913F,0,95070,No,1,249463,Self-Employed,28,Rent,393532,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
Person_320,246809650216,ABCDE7540F,3,7771,No,1,74641,Employed,29,Rent,116070,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_706,570863723062,ABCDE9341F,5,24943,No,1,163781,Self-Employed,42,Own,296924,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,NO
Person_105,721988596885,ABCDE6832F,3,67002,Yes,2,259812,Self-Employed,52,Rent,137335,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
Person_264,232539775477,ABCDE8487F,5,78613,No,1,239414,Unemployed,75,No Property,240036,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_153,616430768591,ABCDE6070F,4,8506,No,1,92926,Employed,70,No Property,143108,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_466,216582332745,ABCDE8634F,4,9465,No,1,67191,Unemployed,29,Rent,149792,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_144,608982994721,ABCDE3477F,2,57480,Yes,0,98195,Employed,20,Rent,105881,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_352,535661976528,ABCDE2803F,3,75142,Yes,1,104541,Employed,36,Own,111211,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_796,155241124380,ABCDE8432F,2,40156,No,2,228553,Self-Employed,29,No Property,218991,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_523,587416227421,ABCDE9476F,1,46057,No,1,52658,Self-Employed,58,Rent,116334,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_184,880106631939,ABCDE8178F,3,67539,No,2,288188,Self-Employed,61,No Property,392151,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
Person_739,479858327856,ABCDE1690F,1,65834,No,2,75368,Self-Employed,36,Own,110535,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_696,152210469016,ABCDE5761F,4,17542,Yes,1,288508,Employed,67,Rent,343219,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_736,105275522388,ABCDE8500F,5,20519,Yes,0,94051,Unemployed,71,Own,95434,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_951,778614727147,ABCDE5853F,2,98259,Yes,0,42203,Employed,30,Own,97961,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
Person_589,790769329196,ABCDE6181F,4,42153,No,1,212125,Unemployed,44,Rent,250463,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
Person_975,320227843243,ABCDE9606F,1,61687,No,2,276384,Employed,41,No Property,309386,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_450,296218609965,ABCDE7912F,4,57868,No,0,290802,Employed,52,Own,399439,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_157,221123761543,ABCDE4708F,4,85837,Yes,2,169380,Employed,44,No Property,146290,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_890,399031169720,ABCDE7560F,5,84862,Yes,1,77094,Employed,19,Rent,75641,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_5,725949221829,ABCDE3907F,1,19988,Yes,0,62523,Self-Employed,31,Rent,93787,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_462,757804445708,ABCDE8232F,4,33180,Yes,1,226258,Employed,34,No Property,157825,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_382,378115119082,ABCDE6216F,0,70212,No,2,91990,Employed,33,Own,49448,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_482,413337821998,ABCDE5375F,2,94637,Yes,2,160420,Employed,52,Rent,153239,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_893,765920180771,ABCDE6133F,4,76656,No,0,201979,Unemployed,28,Own,347349,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_675,810481273580,ABCDE4320F,0,55386,No,2,134921,Employed,54,No Property,24236,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_802,105887269298,ABCDE2638F,0,43964,Yes,0,268276,Employed,26,No Property,366313,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
Person_738,236312219074,ABCDE4453F,0,90694,No,1,60600,Unemployed,49,Own,124538,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_237,791573899842,ABCDE6087F,2,36961,No,1,297585,Employed,69,Rent,176690,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_370,667745198787,ABCDE5422F,1,61495,No,1,29559,Employed,72,No Property,110241,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_857,801989847569,ABCDE1713F,0,50739,No,0,150509,Employed,74,Rent,303554,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_808,625674841404,ABCDE3304F,3,70224,No,1,54999,Employed,34,Own,79333,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_436,510008809682,ABCDE5734F,1,45508,Yes,0,166702,Self-Employed,23,Rent,108565,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_283,762938472627,ABCDE1356F,2,80310,Yes,1,248372,Employed,74,Own,338894,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
Person_599,943443381184,ABCDE6644F,2,40256,Yes,1,243842,Employed,24,No Property,157949,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_495,577423013254,ABCDE2149F,1,55317,No,1,266840,Employed,75,Rent,256129,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_665,435741735870,ABCDE5480F,4,17626,Yes,0,89913,Unemployed,58,Own,25770,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_748,190707604257,ABCDE7955F,4,54537,No,0,298716,Employed,27,Rent,173726,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_951,273478633369,ABCDE7816F,3,88724,Yes,0,80479,Employed,71,Rent,133799,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
Person_245,188279013586,ABCDE4638F,5,39729,Yes,2,230829,Employed,73,Own,287764,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_475,923319680545,ABCDE6909F,2,80625,No,2,253232,Self-Employed,65,Rent,129831,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_100,979275763411,ABCDE8392F,0,87568,Yes,0,246621,Employed,50,No Property,143488,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_37,133606936465,ABCDE8127F,5,95921,Yes,2,188809,Self-Employed,36,No Property,385292,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_773,794515387114,ABCDE4123F,3,27911,Yes,0,143290,Unemployed,41,No Property,101622,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_520,773019814062,ABCDE5470F,5,98228,No,1,155452,Employed,27,Own,308368,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_960,429660675414,ABCDE6767F,2,52889,Yes,0,273392,Employed,70,Rent,216440,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_106,327766199688,ABCDE7647F,4,62634,Yes,1,32940,Employed,34,Own,44036,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_711,926274929060,ABCDE8912F,2,63990,Yes,0,242553,Unemployed,52,No Property,229890,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
Person_17,190775575141,ABCDE6953F,5,98425,Yes,0,25802,Employed,29,No Property,66300,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_649,755269593937,ABCDE1766F,3,45841,Yes,0,32741,Self-Employed,28,Rent,144965,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_671,680182063864,ABCDE6530F,1,32724,No,1,152074,Employed,24,No Property,251832,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_600,307670140365,ABCDE8535F,4,9346,Yes,2,203037,Employed,24,Own,166372,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_144,841629181291,ABCDE8077F,1,73231,No,2,42846,Unemployed,67,Rent,57551,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_375,785500441441,ABCDE3398F,3,6020,No,0,268534,Employed,42,Own,325657,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_580,451733493994,ABCDE2386F,0,26104,No,2,208004,Unemployed,22,No Property,317531,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
Person_639,207914575489,ABCDE9344F,2,7441,Yes,0,269712,Unemployed,30,No Property,107143,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_341,733362745295,ABCDE5021F,1,32839,No,2,165261,Self-Employed,47,No Property,353808,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_442,794219290907,ABCDE7680F,3,13724,No,2,163172,Employed,56,Own,332842,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_781,747922209992,ABCDE1683F,0,44471,Yes,1,249622,Employed,58,No Property,380369,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_633,323683449295,ABCDE2058F,5,52308,Yes,2,28437,Employed,34,Own,125116,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_684,754539737410,ABCDE3181F,1,28814,No,0,207489,Unemployed,34,Rent,106111,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_343,278601984945,ABCDE4610F,0,40109,Yes,0,193164,Employed,62,Rent,374281,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
Person_11,967352427426,ABCDE6541F,0,5220,No,1,103672,Employed,24,Rent,121318,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_444,282380913880,ABCDE4359F,3,36096,Yes,2,227555,Employed,52,Own,114153,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
Person_156,366028662632,ABCDE3548F,1,25119,Yes,1,125528,Employed,66,Own,105828,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_520,247960526422,ABCDE3011F,2,51303,No,0,235375,Employed,74,Rent,223244,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_479,794245120204,ABCDE8870F,3,74739,No,0,146733,Employed,64,Own,40162,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_320,778514564773,ABCDE5223F,2,20657,Yes,2,78544,Employed,69,Own,114333,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_653,410801815165,ABCDE5874F,3,82131,Yes,0,163290,Employed,40,Rent,124684,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_87,878333772363,ABCDE5563F,5,52131,Yes,1,213129,Employed,37,Rent,139658,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_240,536716685567,ABCDE8774F,5,87779,Yes,1,289413,Self-Employed,36,Own,109170,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
Person_278,951672755995,ABCDE6291F,1,32814,Yes,1,55412,Self-Employed,44,Rent,52984,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
Person_804,373092591668,ABCDE4118F,2,57473,No,0,138176,Employed,74,Own,56087,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_737,932348544746,ABCDE3448F,1,72576,Yes,1,108955,Employed,66,No Property,64465,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
Person_974,304104869040,ABCDE8704F,5,39469,No,2,271962,Employed,30,Own,200135,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,NO
Person_352,645670764108,ABCDE5477F,3,11151,No,2,80556,Self-Employed,21,No Property,132169,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_301,924023345979,ABCDE9597F,5,83592,Yes,2,149813,Employed,32,No Property,109540,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_760,189342117826,ABCDE3451F,3,37154,Yes,2,65948,Unemployed,45,Own,62378,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
Person_706,381908461116,ABCDE6402F,5,26998,Yes,1,280782,Unemployed,73,Rent,382164,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_246,602364157510,ABCDE8652F,4,95304,Yes,0,243519,Self-Employed,53,Own,361206,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
Person_918,925553440746,ABCDE1350F,5,20585,Yes,2,278669,Unemployed,43,No Property,386657,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_920,893362910761,ABCDE8723F,3,57061,Yes,0,105055,Employed,41,Rent,145485,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_661,599949090900,ABCDE5749F,5,96882,No,1,247901,Self-Employed,53,No Property,250673,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_789,314283408978,ABCDE8783F,3,10806,No,2,265250,Unemployed,38,No Property,174741,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_830,849465546937,ABCDE7243F,4,20049,Yes,2,66291,Unemployed,74,Own,60094,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_778,287186137460,ABCDE2208F,5,18108,No,2,249047,Employed,33,Rent,128073,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_245,142495504621,ABCDE4150F,4,92353,No,0,252337,Employed,66,Rent,169278,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_232,456384145087,ABCDE2373F,0,63414,No,0,213560,Unemployed,25,Own,254488,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_572,622170628891,ABCDE5312F,3,98721,No,2,128487,Employed,37,Own,85310,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
Person_510,173974819114,ABCDE9587F,5,61701,Yes,2,62415,Employed,54,No Property,97818,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_293,568096759201,ABCDE2551F,5,33096,No,0,169069,Self-Employed,21,No Property,187044,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_288,257485578218,ABCDE3781F,0,6822,Yes,0,25271,Unemployed,45,Own,37842,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_431,466650620257,ABCDE2931F,4,22636,Yes,0,172828,Unemployed,59,Own,238368,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
Person_814,672620034122,ABCDE7727F,3,60818,No,2,134162,Self-Employed,66,No Property,147649,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_849,405644421393,ABCDE1564F,4,84327,Yes,2,179823,Self-Employed,35,No Property,236254,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_32,601465181238,ABCDE1386F,3,37969,Yes,1,283783,Employed,33,No Property,239831,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
Person_695,546414228406,ABCDE8113F,4,97370,Yes,0,69960,Employed,20,No Property,58093,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_871,535809336488,ABCDE5658F,3,60014,Yes,1,266171,Unemployed,56,Rent,342507,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_962,326352253637,ABCDE8337F,0,88816,Yes,2,156537,Employed,49,Own,103902,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_232,587492295675,ABCDE6755F,2,81782,No,0,238814,Employed,29,Rent,279928,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_107,264518947869,ABCDE5266F,3,54037,No,0,145312,Employed,72,Rent,113902,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
Person_643,540163258857,ABCDE8863F,2,98291,No,2,250119,Employed,29,Own,156230,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_489,374973113611,ABCDE4122F,2,86519,No,0,263715,Unemployed,29,Rent,384574,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_105,398490630168,ABCDE8374F,1,87017,Yes,0,69892,Employed,29,No Property,110371,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_237,351300420664,ABCDE1640F,4,88478,Yes,2,40281,Employed,42,Own,88370,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_995,942994565640,ABCDE6793F,4,23723,No,2,38072,Unemployed,65,Rent,94408,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_658,711020294009,ABCDE7851F,3,60542,Yes,0,96364,Self-Employed,24,Own,32061,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
Person_233,629998920187,ABCDE8817F,0,99511,No,1,294103,Unemployed,73,Rent,240306,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_46,629226381671,ABCDE3415F,3,80853,No,1,35103,Employed,56,Rent,140133,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
Person_176,490879206826,ABCDE5268F,4,50595,Yes,0,168769,Employed,20,Own,104885,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_992,790466497260,ABCDE9266F,3,25131,Yes,0,102175,Employed,49,No Property,128291,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_328,839003986447,ABCDE2043F,4,36078,Yes,2,74265,Employed,68,Own,60263,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_422,871375632211,ABCDE1175F,1,30805,No,1,278963,Employed,54,No Property,114254,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_711,161933501750,ABCDE5003F,0,51097,No,2,45274,Employed,35,No Property,41799,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_787,113738912452,ABCDE7841F,5,32168,No,2,102236,Self-Employed,75,Own,104597,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_873,917348830918,ABCDE6509F,1,48502,No,0,204505,Employed,55,No Property,349546,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_47,756872566613,ABCDE2916F,1,19251,Yes,2,223840,Employed,64,No Property,306488,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_928,456283741253,ABCDE3489F,1,53112,Yes,2,64979,Self-Employed,19,Rent,137201,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_98,122459439334,ABCDE4930F,3,67388,Yes,2,133937,Unemployed,58,No Property,118916,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_397,820039215055,ABCDE4263F,5,27800,No,1,219155,Employed,33,Rent,358529,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_232,891718038998,ABCDE8256F,2,8548,Yes,0,154714,Self-Employed,71,No Property,160823,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_93,395678885211,ABCDE8438F,5,21147,No,2,280874,Self-Employed,23,No Property,117735,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_651,150559351578,ABCDE3244F,2,27709,Yes,1,172939,Employed,42,Rent,370047,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
Person_66,810274296165,ABCDE8463F,3,93869,No,2,218890,Employed,25,Own,111490,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,NO
Person_511,549036769705,ABCDE2752F,5,47273,No,0,260586,Unemployed,41,No Property,298171,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_99,408073754805,ABCDE1533F,5,57081,No,0,207948,Employed,23,Rent,160638,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_291,509763034921,ABCDE5638F,3,32485,Yes,2,279823,Employed,25,No Property,399126,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_959,676030216014,ABCDE1562F,4,72084,No,0,259120,Unemployed,20,No Property,295456,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_522,320477820778,ABCDE2816F,0,12168,No,1,31703,Unemployed,23,Rent,22260,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
Person_312,560538465741,ABCDE4398F,4,88477,No,0,232267,Unemployed,19,Rent,354327,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_650,714882305991,ABCDE7565F,0,27471,No,1,277841,Unemployed,72,Rent,139023,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_144,921406845249,ABCDE3105F,0,95548,No,2,265053,Unemployed,58,Rent,269084,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_235,843363787561,ABCDE3531F,0,61371,Yes,1,148300,Unemployed,69,Rent,80910,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_412,332638796279,ABCDE8627F,1,56066,Yes,2,241352,Employed,31,No Property,186711,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,NO
Person_16,981711209840,ABCDE4817F,3,43000,No,1,260507,Employed,47,Own,227642,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_965,348130632899,ABCDE1357F,0,55452,Yes,1,171289,Self-Employed,60,Own,330766,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,NO
