Name,Age,AADHAR_No,PAN_No,Gender,Account_No,Caste,PIN_Code,Annual_Income,Govt_Schemes_Availed,Scheme_Under_Ministry,Eligible_for_PM_KISAN
Wazir Shah,65,753-62-1180,jksDy92346,Female,572935158394,ST,119469,327212,Scholarship,Ministry of Education,No
Charita Barman,35,286-78-2066,HZrDD86672,Male,311912931374,General,861559,973840,Ayushman Bharat,Ministry of Health and Family Welfare,No
Jacob Atwal,71,302-36-4245,rqFZj40084,Female,550348019271,General,220674,841738,MNREGA,Ministry of Rural Development,No
Oviya Prasad,72,032-79-5140,kCuky32172,Male,972044953033,OBC,716005,546755,Ayushman Bharat,Ministry of Health and Family Welfare,No
Ekaraj Sem,77,896-46-3823,kUbXB26228,Male,920028970144,OBC,656610,477181,Scholarship,Ministry of Education,No
Indali Lalla,74,515-94-3060,zGCYm82027,Female,297566863869,General,997527,86097,Scholarship,Ministry of Education,Yes
Zilmil Sheth,54,460-43-5229,kZODb85902,Male,243091492185,General,383716,513782,PMAY,Ministry of Housing and Urban Affairs,No
Tanmayi Parsa,62,397-45-4613,qNTZQ48617,Female,771838444467,General,825102,662178,Scholarship,Ministry of Education,No
Vansha Atwal,21,518-28-9442,pOgIP91339,Male,562723189279,General,617309,726486,PDS,Ministry of Consumer Affairs,No
Advay Mandal,37,925-47-0945,RQISe02569,Male,398971905420,SC,764505,385623,PDS,Ministry of Consumer Affairs,No
Advika Date,34,109-48-8549,Ymghb45284,Male,000945882023,OBC,509104,433769,PMAY,Ministry of Housing and Urban Affairs,No
Sathvik Narain,50,751-47-0766,JltSN79086,Female,276185838466,OBC,772740,941300,MNREGA,Ministry of Rural Development,No
Hemang Ratti,37,689-87-3799,rXdsd24340,Male,312093692525,General,243128,231200,PDS,Ministry of Consumer Affairs,No
Kabir Deshpande,35,989-89-0259,suyXY61070,Female,044260092437,General,115516,684528,PDS,Ministry of Consumer Affairs,No
Ijaya Prashad,56,909-10-6938,dZQsI30211,Female,962027679398,ST,822017,840427,Ayushman Bharat,Ministry of Health and Family Welfare,No
Manya Zacharia,67,944-42-4530,spvAO14185,Female,492806051316,OBC,311301,409794,PDS,Ministry of Consumer Affairs,No
Sudiksha Palla,28,898-35-5826,lAMNj96546,Other,263558659193,OBC,652268,521150,MNREGA,Ministry of Rural Development,No
Jack Dhillon,79,221-19-8299,kFjCx86992,Male,265249874829,General,301975,58294,PDS,Ministry of Consumer Affairs,Yes
Isaac Devan,21,974-27-7981,JNfRe12826,Female,359525830375,General,503937,216141,Ayushman Bharat,Ministry of Health and Family Welfare,No
Gautami Mahajan,54,073-94-9901,pjBue34011,Female,325571730432,OBC,679073,131759,MNREGA,Ministry of Rural Development,Yes
Qarin Gole,29,420-01-6927,nmDUI35647,Female,647805095199,General,963901,788261,Ayushman Bharat,Ministry of Health and Family Welfare,No
Hardik Tella,48,198-47-0685,NVyLy31295,Female,452010938564,General,398901,258712,Ayushman Bharat,Ministry of Health and Family Welfare,No
Mitesh Dube,20,262-81-5583,iewsv39250,Male,750513831373,OBC,199072,882600,Ayushman Bharat,Ministry of Health and Family Welfare,No
Qasim Agarwal,64,173-83-3129,ObWon28066,Female,222454581146,OBC,993188,621701,PDS,Ministry of Consumer Affairs,No
Nakul Master,28,320-92-5483,TLHyS93198,Female,140537958900,General,727754,897060,PDS,Ministry of Consumer Affairs,No
Meera Loyal,70,581-65-7939,Tlaue20267,Male,218464385424,OBC,925681,845668,MNREGA,Ministry of Rural Development,No
Ishani Singhal,63,311-85-1329,rbOLm89329,Female,747304066073,General,534948,298753,Scholarship,Ministry of Education,No
Janani Rai,34,152-70-0681,jGDqG19454,Male,773783917012,OBC,177710,758915,PDS,Ministry of Consumer Affairs,No
Dayamai Ray,48,380-73-4052,tFnHV04439,Male,241218372952,General,829789,839120,PMAY,Ministry of Housing and Urban Affairs,No
Kashish Shenoy,20,377-59-3908,UCDsL90663,Female,274551775772,OBC,096386,244997,Scholarship,Ministry of Education,No
Bachittar Rajagopalan,68,648-64-7840,TlNlt66908,Male,428243097125,ST,427772,670760,Scholarship,Ministry of Education,No
Farhan Khatri,68,888-29-3473,ZbnRX51627,Male,009181986180,General,546152,174732,Ayushman Bharat,Ministry of Health and Family Welfare,No
Ira Ramakrishnan,31,642-09-1402,IMtDo44801,Female,978986172606,General,229349,212715,Scholarship,Ministry of Education,No
Kamala Krish,18,720-66-4174,eSuPj93985,Female,385201721586,General,755098,216196,Ayushman Bharat,Ministry of Health and Family Welfare,No
Jacob Bajwa,45,038-56-6892,tqeWi51290,Female,961021707879,OBC,429663,597727,Ayushman Bharat,Ministry of Health and Family Welfare,No
Tristan Rastogi,30,110-13-3403,Uddsa36031,Other,048062212597,General,355279,458081,Scholarship,Ministry of Education,No
Viraj Pathak,25,924-49-5167,qXyfE67210,Female,198849073555,SC,839861,737079,PDS,Ministry of Consumer Affairs,No
Falguni Lanka,79,309-44-0869,DiYxR26628,Female,513115838330,OBC,946657,184469,Ayushman Bharat,Ministry of Health and Family Welfare,No
Ronith Goyal,41,771-24-0409,HkWWs09156,Female,556594067489,OBC,138585,506934,PMAY,Ministry of Housing and Urban Affairs,No
Libni Kalla,37,737-83-2309,nKFRK95781,Male,382204406297,General,366434,201212,MNREGA,Ministry of Rural Development,No
Ladli Kadakia,60,592-27-8428,ZPgiA60880,Female,329757029372,General,984015,346146,PDS,Ministry of Consumer Affairs,No
Manan Upadhyay,61,142-15-2166,qDmec40003,Female,370942702795,OBC,310517,597326,Scholarship,Ministry of Education,No
Wazir Lall,43,305-59-6652,dmaTm93649,Male,813127910740,General,828831,770798,Ayushman Bharat,Ministry of Health and Family Welfare,No
George Dhawan,75,201-79-1010,Qxwbe73653,Male,023030033033,OBC,694479,89195,MNREGA,Ministry of Rural Development,Yes
George Bhatt,59,884-95-1428,BJlOE72550,Male,306197755899,General,311082,439080,Ayushman Bharat,Ministry of Health and Family Welfare,No
Gabriel Keer,67,370-24-0085,EqkXE34313,Female,828754514012,OBC,141199,253821,MNREGA,Ministry of Rural Development,No
Sanya Shan,79,024-84-9765,FOcTg15708,Female,517218068202,ST,752395,996541,PDS,Ministry of Consumer Affairs,No
Timothy Bhalla,76,550-55-1709,PSjlZ22670,Male,939170518457,General,244728,577025,PDS,Ministry of Consumer Affairs,No
Girish Natt,20,679-95-1947,aslMg82684,Female,043773973589,OBC,592532,834126,Scholarship,Ministry of Education,No
Samaksh Magar,42,250-40-6508,iIDSj84807,Female,706999737380,SC,103679,458309,Scholarship,Ministry of Education,No
Manthan Kurian,56,871-61-8067,BDgox60772,Male,513259250410,General,841553,356490,Scholarship,Ministry of Education,No
Nandini Iyer,59,855-31-6406,lJfQc91013,Male,498257201744,OBC,155554,674559,MNREGA,Ministry of Rural Development,No
Niharika Mani,64,768-13-3715,czFIC24674,Male,551315827715,ST,590334,447363,Ayushman Bharat,Ministry of Health and Family Welfare,No
Qadim Gala,40,977-22-8016,FTEde83885,Female,521529036895,General,172079,802994,Scholarship,Ministry of Education,No
Bhavini Sibal,51,747-42-7834,ziGSJ31952,Female,453976462211,SC,842675,805874,Ayushman Bharat,Ministry of Health and Family Welfare,No
Ikbal Amble,20,405-31-5040,UxNDx14643,Male,697246463316,General,436991,981496,MNREGA,Ministry of Rural Development,No
Xavier Bhardwaj,36,501-01-0920,NBbIQ67487,Male,214091572824,Other,720136,331538,MNREGA,Ministry of Rural Development,No
Udarsh Biswas,45,852-85-2699,HnsPS83034,Female,054347932020,General,737890,560682,PDS,Ministry of Consumer Affairs,No
Panini Narayanan,70,119-46-2371,LaihM48731,Female,464291027736,General,637258,831991,PMAY,Ministry of Housing and Urban Affairs,No
Timothy Sabharwal,41,531-96-2012,ryOHE68028,Male,597273790824,General,232360,427797,MNREGA,Ministry of Rural Development,No
Anmol Grewal,34,553-91-4782,TURKf12873,Female,755813635138,SC,388147,433326,MNREGA,Ministry of Rural Development,No
Akshay Vig,53,299-13-1719,emkQY40441,Female,741532535618,General,784323,573337,MNREGA,Ministry of Rural Development,No
Raghav Acharya,73,077-43-4007,gYwsS48109,Male,526350933927,General,483961,752554,PMAY,Ministry of Housing and Urban Affairs,No
Jeremiah Tripathi,47,415-24-6037,LVOiW44585,Female,758756816135,OBC,323628,817620,PDS,Ministry of Consumer Affairs,No
Manbir Ratti,34,146-29-7010,CyHtx35616,Female,866651419153,OBC,533256,179790,Scholarship,Ministry of Education,No
Jagvi Narasimhan,22,729-47-1818,YiSIj89008,Male,735142473527,General,931752,764314,MNREGA,Ministry of Rural Development,No
Ekiya Prabhu,63,024-66-5489,xYaEG94562,Female,307653576808,OBC,369995,275689,Ayushman Bharat,Ministry of Health and Family Welfare,No
Eesha Rastogi,50,841-87-3482,HLKuV25934,Male,991980669764,General,357153,164140,PDS,Ministry of Consumer Affairs,No
Zarna Narayanan,23,540-22-3667,KEcRf60947,Female,915708916988,OBC,105086,813533,MNREGA,Ministry of Rural Development,No
Omisha Nath,62,263-44-8472,uBhOc77979,Male,479321552226,General,528628,257144,MNREGA,Ministry of Rural Development,No
Omkaar Palla,58,629-60-8798,klzEd68573,Female,211060273351,General,700073,369660,MNREGA,Ministry of Rural Development,No
Zansi Ram,59,699-75-6809,STVTP87715,Male,521737385951,General,418380,669349,Ayushman Bharat,Ministry of Health and Family Welfare,No
Lajita Aggarwal,37,011-68-7509,QWLta74792,Female,748397455729,General,094038,172876,Scholarship,Ministry of Education,No
Vasatika Bhatti,46,379-63-0976,yDyGl63105,Female,958774029723,General,092308,466433,PDS,Ministry of Consumer Affairs,No
Kala Sarraf,35,809-26-5872,ctqKm19558,Female,722994571402,OBC,674380,659150,PMAY,Ministry of Housing and Urban Affairs,No
Yadavi Dewan,42,505-40-6774,IIPRN63648,Female,645204946714,OBC,210948,194356,PMAY,Ministry of Housing and Urban Affairs,No
Krishna Sastry,54,515-00-3703,eDBpl50616,Male,222225164743,OBC,830501,923936,PMAY,Ministry of Housing and Urban Affairs,No
Raghav Pandya,54,223-16-3568,OKtqk97646,Female,468257036914,General,892005,186653,Scholarship,Ministry of Education,No
Hamsini Ghosh,68,286-82-9955,MtpLv14875,Female,275308441490,General,287381,816312,PMAY,Ministry of Housing and Urban Affairs,No
Naksh Kunda,41,597-40-4975,vJQZj22410,Other,674138072652,General,324279,288438,MNREGA,Ministry of Rural Development,No
Irya Balakrishnan,37,220-16-8600,gVUFx68175,Male,936333119485,SC,015011,136019,Scholarship,Ministry of Education,Yes
Jairaj Sule,50,119-45-2250,lTVOS85112,Female,187413611508,OBC,668341,683742,PDS,Ministry of Consumer Affairs,No
Sathvik Palan,70,363-13-7117,gkQPJ04752,Male,174499220386,SC,888174,119210,Ayushman Bharat,Ministry of Health and Family Welfare,Yes
Balhaar Dani,36,333-16-2802,IrEoJ10603,Female,690613149450,General,430189,39618,Ayushman Bharat,Ministry of Health and Family Welfare,Yes
Lavanya Chawla,38,359-87-1061,JLSGj47412,Male,451689965592,OBC,863089,401004,Ayushman Bharat,Ministry of Health and Family Welfare,No
Charita Ranganathan,34,734-86-8386,DzpMB74421,Female,477614405090,General,005343,751137,Ayushman Bharat,Ministry of Health and Family Welfare,No
Triya Chaudhuri,35,774-29-7455,uHtAS70194,Male,923219125732,General,091950,941897,MNREGA,Ministry of Rural Development,No
Hema Gokhale,34,702-93-3740,fHDNC19146,Male,076554526003,General,803232,802637,Scholarship,Ministry of Education,No
Sanaya Manne,20,293-06-8114,CdKvy14811,Female,545078715500,Other,753403,59806,PDS,Ministry of Consumer Affairs,Yes
Gaurav Patla,38,076-87-5480,fsYaY26557,Female,785015278375,General,775187,793263,Scholarship,Ministry of Education,No
Girish Hegde,47,606-42-5813,pMPAM01077,Male,353912396583,OBC,936314,259012,MNREGA,Ministry of Rural Development,No
Joshua Anne,65,861-32-2927,FVuRf60813,Other,703956947437,SC,512331,479096,PMAY,Ministry of Housing and Urban Affairs,No
Siddharth Narain,26,967-84-0795,VMPvb40076,Male,945571275150,SC,237546,223795,PDS,Ministry of Consumer Affairs,No
Daksha Chandra,48,753-04-7732,jRBVY74660,Female,981189027398,General,990408,386246,Ayushman Bharat,Ministry of Health and Family Welfare,No
Utkarsh Vaidya,41,885-91-4765,HApmU23233,Female,765150123501,General,082154,894673,Ayushman Bharat,Ministry of Health and Family Welfare,No
Frederick Acharya,21,996-96-7021,QykwK02208,Male,950560941122,General,019684,158432,Ayushman Bharat,Ministry of Health and Family Welfare,No
Advika Bali,69,302-44-9731,EouSo62929,Female,028137993800,General,377419,851320,PDS,Ministry of Consumer Affairs,No
Gauri Lad,21,902-19-4423,qDOnI98119,Male,028686664089,OBC,137232,133832,PDS,Ministry of Consumer Affairs,Yes
Yug Badal,19,869-81-3189,Tfeoi57303,Male,953422543707,OBC,615454,146858,PDS,Ministry of Consumer Affairs,Yes
Kavya Natarajan,52,188-07-7422,BSEfT84394,Female,986259507830,ST,046013,692352,Ayushman Bharat,Ministry of Health and Family Welfare,No
Abhimanyu Tata,61,127-45-5004,pwZug69692,Male,681623360366,SC,916402,515909,MNREGA,Ministry of Rural Development,No
Upasna Kala,57,610-59-0482,mlqDC39780,Male,013905158646,OBC,583426,575042,Ayushman Bharat,Ministry of Health and Family Welfare,No
Krishna Gupta,19,210-01-3336,joWab69540,Male,850074773834,OBC,673732,652057,Scholarship,Ministry of Education,No
Zayan Hegde,39,468-65-7941,UDmrU14825,Male,975742123411,OBC,877552,920035,Scholarship,Ministry of Education,No
Gagan Agarwal,56,221-86-2111,ICVVB53994,Male,409569858466,ST,419062,863940,Scholarship,Ministry of Education,No
Yashodhara Patel,64,597-32-8706,IELCw43083,Other,744605485542,General,028506,479980,Scholarship,Ministry of Education,No
Widisha Purohit,80,702-36-1313,jqwGJ39147,Male,489709757612,OBC,993908,205974,PDS,Ministry of Consumer Affairs,No
Daniel Nath,61,927-17-5508,aAdQv18188,Female,329747833497,General,233760,522330,PMAY,Ministry of Housing and Urban Affairs,No
Finn Swaminathan,67,242-85-9169,uLXjc28678,Male,483237736477,General,764214,247088,Scholarship,Ministry of Education,No
Rushil Sankar,54,316-26-2872,fDZII32066,Female,877919658901,General,818567,951125,Ayushman Bharat,Ministry of Health and Family Welfare,No
Yahvi Sarin,43,604-60-5075,jaDzg25093,Female,092532788136,OBC,446291,268509,Ayushman Bharat,Ministry of Health and Family Welfare,No
Nirja Atwal,60,778-92-1066,TfhPo96613,Female,894409268736,General,687759,448272,Scholarship,Ministry of Education,No
Harrison Borra,45,713-53-4876,gjmYO41419,Male,045608758946,General,346192,115100,Ayushman Bharat,Ministry of Health and Family Welfare,Yes
Siddharth Hora,31,059-36-9950,FDDnq01053,Male,939745097150,General,809029,302087,Ayushman Bharat,Ministry of Health and Family Welfare,No
Darpan Mammen,62,154-27-7977,dGaUn95090,Male,088721398550,General,798083,753611,Ayushman Bharat,Ministry of Health and Family Welfare,No
Ekta Dugal,49,363-70-9074,bimvc24000,Female,389919153437,ST,457521,956380,Ayushman Bharat,Ministry of Health and Family Welfare,No
Darika Comar,20,628-70-1392,LiduG22925,Female,063817496877,ST,509764,564480,Scholarship,Ministry of Education,No
Damini Butala,50,839-58-9480,XAJJT56722,Female,516276451544,OBC,701531,887465,PMAY,Ministry of Housing and Urban Affairs,No
Samarth Chowdhury,35,427-59-5814,KyMPm26907,Male,387233980639,ST,978399,134372,MNREGA,Ministry of Rural Development,Yes
Aashi Hora,74,952-99-0671,OFNEX33506,Female,726877987958,ST,698311,830679,MNREGA,Ministry of Rural Development,No
Zashil Kakar,46,166-95-9452,lbsch51760,Female,419670856604,ST,410148,818644,MNREGA,Ministry of Rural Development,No
Urvi Tailor,76,455-57-0205,FcPId95839,Female,175164182582,OBC,621913,290295,PDS,Ministry of Consumer Affairs,No
Warjas Sule,49,549-30-0147,SncTu99286,Female,322573577247,General,941389,840348,MNREGA,Ministry of Rural Development,No
Veda Chadha,36,451-49-1527,eMclu01499,Male,723672372450,General,181883,732950,Ayushman Bharat,Ministry of Health and Family Welfare,No
Dhriti Mistry,24,882-81-7654,hejTV86569,Female,392117631568,ST,464117,213358,PDS,Ministry of Consumer Affairs,No
Nicholas Mand,46,347-72-2255,hYuGz40019,Male,432208504389,General,662934,952159,Scholarship,Ministry of Education,No
Chandresh Mand,33,995-80-0785,ZqkCr85440,Female,213193003767,OBC,997659,910199,PDS,Ministry of Consumer Affairs,No
Kashvi Dyal,37,455-81-8987,ioomi22532,Female,638904158851,Other,064760,46141,MNREGA,Ministry of Rural Development,Yes
Devansh Bajwa,63,965-57-4411,akXeG22824,Male,108360444172,General,092539,679959,Scholarship,Ministry of Education,No
Faras Sankaran,39,085-92-4002,GsvOb40768,Male,884820337732,OBC,653429,802151,PMAY,Ministry of Housing and Urban Affairs,No
Ekani Gokhale,22,827-45-0597,CvIay48087,Female,839750900878,General,601572,834820,Ayushman Bharat,Ministry of Health and Family Welfare,No
Avni Magar,52,966-62-2493,AokHh86625,Male,812721176218,General,015960,643803,Scholarship,Ministry of Education,No
Azad Zachariah,62,965-76-5261,wRToS63488,Female,506066909594,General,779273,367952,PMAY,Ministry of Housing and Urban Affairs,No
Arya Ratti,31,526-46-7124,aAaWK73088,Male,593547399435,General,291537,257477,MNREGA,Ministry of Rural Development,No
Jatin Ranganathan,57,233-25-0876,nWflT93954,Male,847821111457,General,889317,62180,PMAY,Ministry of Housing and Urban Affairs,Yes
Jalsa Ramaswamy,37,962-45-8177,bfUKm60394,Male,704902038433,OBC,666103,847196,PDS,Ministry of Consumer Affairs,No
Jonathan Gera,55,729-89-8626,GZLHD15257,Female,705074754149,Other,883815,205658,PDS,Ministry of Consumer Affairs,No
Kashvi Saraf,24,218-30-4297,OjFQW16942,Male,524769063851,OBC,956393,328576,Ayushman Bharat,Ministry of Health and Family Welfare,No
Radha Kapoor,55,161-34-4102,quata27362,Male,193193592485,General,950216,330830,Ayushman Bharat,Ministry of Health and Family Welfare,No
Harsh Patla,72,307-78-4389,ylHFY53045,Male,917084552688,OBC,428294,349756,PDS,Ministry of Consumer Affairs,No
Rishi Dyal,56,164-04-9434,EdHJy55212,Male,974821286451,OBC,960405,304760,PDS,Ministry of Consumer Affairs,No
Amaira Patel,52,255-08-7665,teHIL15522,Male,589465230544,SC,898270,388692,Scholarship,Ministry of Education,No
Ayushman Pal,48,985-53-0531,nhPBy33248,Female,883707291135,OBC,517554,571792,MNREGA,Ministry of Rural Development,No
Ethan Balan,79,599-56-9163,nzsoO11721,Female,751674286087,General,715775,104415,PDS,Ministry of Consumer Affairs,Yes
Sanya Arora,50,743-12-0701,ZSszH86784,Female,343796461716,General,922030,850183,Ayushman Bharat,Ministry of Health and Family Welfare,No
Ekani Butala,51,799-58-4340,CXquB01134,Male,945240801853,OBC,988608,802057,PMAY,Ministry of Housing and Urban Affairs,No
Kamya Wali,42,364-60-8661,NMZXQ58613,Female,858022173596,OBC,656221,262063,MNREGA,Ministry of Rural Development,No
Charita Majumdar,24,428-91-7172,ShkMR28990,Female,351160930852,General,658543,487113,PMAY,Ministry of Housing and Urban Affairs,No
Ranbir Radhakrishnan,74,274-08-8552,niQEX69421,Male,026282489829,ST,475039,517400,Ayushman Bharat,Ministry of Health and Family Welfare,No
Keya Sarna,48,137-19-1402,LYzYg13867,Male,600851110641,General,494216,808963,MNREGA,Ministry of Rural Development,No
Advika Ben,38,336-94-0516,emqdK21892,Female,332299534866,General,016001,891766,MNREGA,Ministry of Rural Development,No
Yutika Misra,73,083-45-6171,vlKBh72940,Male,556565051438,ST,816412,584594,PMAY,Ministry of Housing and Urban Affairs,No
Januja Dubey,48,573-23-2157,OLnlQ45453,Male,142382193425,General,025863,497529,Scholarship,Ministry of Education,No
Faris Sengupta,62,367-21-0541,XOCia16689,Male,668513558460,General,651124,803608,MNREGA,Ministry of Rural Development,No
Nitesh Menon,54,645-03-2215,lkJUK25128,Other,343892060154,OBC,522420,968707,MNREGA,Ministry of Rural Development,No
Siya Ganguly,78,735-88-6544,AjnSG99065,Female,252677436782,General,067119,77004,PDS,Ministry of Consumer Affairs,Yes
Azaan Kaul,61,891-84-9130,OOFlh48052,Male,638775527952,OBC,834467,714579,MNREGA,Ministry of Rural Development,No
Ladli Ravi,59,627-92-1411,tlXvT78059,Male,291555443017,General,880479,196403,MNREGA,Ministry of Rural Development,No
Yash Chahal,23,151-33-7684,MaRfE54490,Female,108420258481,ST,491032,189283,Ayushman Bharat,Ministry of Health and Family Welfare,No
Ekansh Rau,56,458-29-3340,yhEIb81266,Female,729625316181,OBC,950792,625198,Ayushman Bharat,Ministry of Health and Family Welfare,No
Turvi Edwin,71,142-34-9272,pIUrR30836,Male,813797593651,OBC,236482,366529,Scholarship,Ministry of Education,No
Robert Cherian,30,470-62-9909,LUOMW22553,Male,002320098050,General,387565,613887,PDS,Ministry of Consumer Affairs,No
Samarth Desai,75,785-33-4098,npsJa29404,Female,595634340666,General,005464,876095,Ayushman Bharat,Ministry of Health and Family Welfare,No
Dominic Sabharwal,52,687-68-2553,zHjrX24782,Male,539887663107,General,712028,533947,Scholarship,Ministry of Education,No
Victor Buch,74,537-59-0173,RItYU91052,Female,446573027703,General,772857,549664,Scholarship,Ministry of Education,No
Ekiya Bawa,34,814-73-8509,KVTum90130,Male,599159484940,OBC,260816,906233,Ayushman Bharat,Ministry of Health and Family Welfare,No
Bhavani Dutt,75,705-70-9871,tvCHf15109,Male,709931613259,ST,042724,706514,PMAY,Ministry of Housing and Urban Affairs,No
Ekavir Mohanty,35,861-29-7544,qiatR87074,Female,896900011157,General,799967,456244,Ayushman Bharat,Ministry of Health and Family Welfare,No
Isaac Sidhu,24,293-57-5166,GXagm61031,Female,144886129854,OBC,161103,516854,MNREGA,Ministry of Rural Development,No
Nitesh Bassi,78,969-40-0583,EmrRa23064,Female,073059062651,General,277963,86749,PDS,Ministry of Consumer Affairs,Yes
Kiaan Zachariah,70,671-04-7323,rfEDU74643,Female,927187202619,General,283910,105104,PMAY,Ministry of Housing and Urban Affairs,Yes
Saumya Shroff,40,670-48-4296,GTEtH61248,Female,766493375039,OBC,240480,692523,Ayushman Bharat,Ministry of Health and Family Welfare,No
Shravya Shankar,33,690-07-1379,CUbVL89657,Female,186265699546,Other,541342,350429,MNREGA,Ministry of Rural Development,No
Jhalak Aggarwal,70,026-18-7240,EstNY10417,Female,173868094786,General,695436,240113,PDS,Ministry of Consumer Affairs,No
Onveer Bakshi,27,938-09-9843,hsyHN38982,Female,290576376359,General,408395,892477,MNREGA,Ministry of Rural Development,No
Yatan Sami,29,794-59-0725,PTHHr70948,Male,308639104919,General,298687,703409,PDS,Ministry of Consumer Affairs,No
Victor Narasimhan,18,256-73-4037,ztRXr34549,Male,147085554832,OBC,716885,211154,PDS,Ministry of Consumer Affairs,No
Aditya Sekhon,20,212-22-0696,UreEa90765,Female,469174497240,OBC,323465,701607,Scholarship,Ministry of Education,No
Meghana Prasad,35,980-03-3831,EWLHK11756,Female,015943003693,General,019407,449155,Scholarship,Ministry of Education,No
Anthony Luthra,30,205-48-4648,spftW39341,Male,942564293469,OBC,805731,134100,Scholarship,Ministry of Education,Yes
Eshana Rattan,30,915-41-5869,cVksD79936,Male,746908694827,OBC,685379,869529,PMAY,Ministry of Housing and Urban Affairs,No
Abha Saxena,43,640-82-3477,rxhva19475,Female,207898069661,OBC,636231,857943,PDS,Ministry of Consumer Affairs,No
Banjeet Saraf,31,189-22-8255,RCHUj13408,Male,561029982651,OBC,725072,931996,PDS,Ministry of Consumer Affairs,No
Krish Gole,24,318-78-4706,gWBoW11349,Male,998926709747,General,179783,504043,PMAY,Ministry of Housing and Urban Affairs,No
Timothy Uppal,30,725-87-3457,pSwSH74773,Male,040549256009,General,399925,973180,PDS,Ministry of Consumer Affairs,No
Chasmum Ratta,70,639-10-1969,nlIIj59383,Female,400364958539,OBC,300297,210568,MNREGA,Ministry of Rural Development,No
Kritika Gandhi,33,197-44-8616,ZjVoF25773,Female,366537586471,SC,858465,239344,Scholarship,Ministry of Education,No
Bahadurjit Sandhu,49,685-58-1951,BmvMW44673,Female,818066723334,ST,419093,703752,Ayushman Bharat,Ministry of Health and Family Welfare,No
Anamika Parmar,29,369-22-9456,vAqOq27737,Female,213677108031,General,456175,343529,PDS,Ministry of Consumer Affairs,No
Janani Sibal,67,588-95-0911,JOthu99132,Female,969588094646,General,818309,514036,PMAY,Ministry of Housing and Urban Affairs,No
Reva Tella,22,997-89-2010,ghKcR56595,Other,445287002965,General,014813,616781,MNREGA,Ministry of Rural Development,No
Peter Sem,33,231-02-2484,NnwoW92572,Female,249206102333,OBC,926001,521906,Scholarship,Ministry of Education,No
Tara Dixit,42,376-43-4736,McvVu53105,Female,436246921440,General,108064,645448,PMAY,Ministry of Housing and Urban Affairs,No
Tanay Dewan,37,875-28-8906,KOOqH79857,Female,912835215924,General,323726,54790,Scholarship,Ministry of Education,Yes
Akshay Narasimhan,45,208-20-6958,bvLAf21177,Male,595399096946,SC,366338,123258,PDS,Ministry of Consumer Affairs,Yes
Janani Sarkar,68,497-92-5026,UKVLr82803,Male,633708701164,General,639589,325967,Scholarship,Ministry of Education,No
Dhruv Bassi,79,263-84-4024,ibskJ74731,Male,762503527977,General,891351,524565,MNREGA,Ministry of Rural Development,No
Lucky Nayak,71,067-65-2607,Gopoi15964,Male,730714984399,General,554378,574422,PDS,Ministry of Consumer Affairs,No
Triveni Kata,56,278-24-0715,McivH09205,Male,003936366156,General,757417,71592,Scholarship,Ministry of Education,Yes
Bina Sama,44,111-86-3337,NKFst49487,Female,614760787520,General,986983,423648,Ayushman Bharat,Ministry of Health and Family Welfare,No
Ganga Sampath,61,466-16-4332,OapnD31325,Female,118068424170,OBC,420953,560276,MNREGA,Ministry of Rural Development,No
