Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,marital_status
Person_773,3371669808,ABCDE7502F,3,31750,No,1,454000,Unemployed,61,None,48778,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_943,3075877445,ABCDE9345F,5,57881,Yes,2,642459,Self-Employed,36,Rent,314019,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_755,8540661777,ABCDE5456F,1,21971,Yes,0,810680,Unemployed,21,Rent,115747,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_107,8381673462,ABCDE4401F,2,48645,No,0,86988,Employed,21,Rent,213299,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_561,4251815871,ABCDE4129F,4,78629,Yes,1,808702,Self-Employed,54,Own,411730,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_334,2759432483,ABCDE8008F,2,60044,No,0,155883,Unemployed,21,Own,91676,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_785,6286887368,ABCDE8180F,2,13906,Yes,0,917035,Self-Employed,70,None,247186,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_297,4143658622,ABCDE6685F,1,25884,Yes,0,466859,Employed,52,Own,382959,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_109,4031190932,ABCDE7227F,2,7649,Yes,1,489355,Unemployed,70,Own,37302,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_362,5927395146,ABCDE6607F,1,55521,Yes,2,216368,Employed,50,None,243823,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_136,3097375098,ABCDE9854F,1,8067,Yes,1,356834,Employed,46,Own,240064,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_680,6480128260,ABCDE6327F,5,26199,Yes,0,638390,Unemployed,35,Own,310222,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_944,3723572692,ABCDE2752F,2,66579,No,1,594118,Unemployed,34,Rent,196984,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_449,5265825049,ABCDE1124F,3,21771,No,0,363218,Unemployed,50,None,141689,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_206,6894642330,ABCDE5606F,1,78857,No,1,142154,Unemployed,50,Rent,385453,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_953,4129120614,ABCDE1766F,1,90241,Yes,2,286521,Employed,43,None,444919,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_136,5016381983,ABCDE4247F,4,78677,No,0,603138,Unemployed,58,Rent,84977,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_824,5303709266,ABCDE1403F,2,30435,No,1,265015,Unemployed,46,None,248415,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_352,9732589938,ABCDE7809F,3,70756,Yes,2,968044,Self-Employed,40,None,43987,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_578,8330430899,ABCDE4456F,3,70729,No,2,310957,Employed,63,None,306489,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_305,8456948453,ABCDE6313F,1,27818,No,2,412700,Unemployed,60,None,73356,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_348,3459173140,ABCDE4172F,2,97601,Yes,1,498574,Self-Employed,22,Rent,117742,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_383,7210469396,ABCDE9702F,0,28886,Yes,2,158177,Employed,21,None,96917,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_235,2749912892,ABCDE4758F,5,28216,Yes,0,493593,Unemployed,32,Rent,257825,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_958,3072267769,ABCDE2752F,1,79203,Yes,2,407193,Self-Employed,46,Rent,182259,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_429,9412863732,ABCDE7942F,2,89344,Yes,1,873105,Employed,60,Own,263755,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_1000,2091118850,ABCDE3151F,1,11182,No,0,745104,Employed,69,Own,376388,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_565,2104708036,ABCDE7698F,4,21065,Yes,0,993179,Unemployed,33,Own,353384,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_468,1809327435,ABCDE8170F,0,10356,No,2,985012,Unemployed,53,Own,90256,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_983,7751404391,ABCDE9004F,1,81084,No,2,817538,Employed,44,Own,49234,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_474,7905674286,ABCDE3574F,2,38491,Yes,0,922203,Unemployed,70,None,132163,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_136,5948737229,ABCDE7369F,1,87093,No,1,663203,Self-Employed,46,Rent,488421,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_501,5716504790,ABCDE7792F,0,99641,Yes,2,277783,Unemployed,27,Own,246276,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_903,1829856022,ABCDE9111F,2,32474,No,2,206299,Unemployed,32,Own,134865,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_44,6621413178,ABCDE7690F,2,7727,Yes,2,402426,Employed,59,None,178582,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_892,4532141967,ABCDE5719F,5,60122,No,1,638241,Employed,37,Own,332935,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_635,2311489049,ABCDE8152F,3,35062,Yes,0,529613,Unemployed,72,Own,164473,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_370,9236330126,ABCDE3264F,5,77658,Yes,1,840618,Unemployed,31,None,230680,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_828,4315912297,ABCDE4953F,4,26728,No,0,155974,Unemployed,68,None,400139,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_705,7274957322,ABCDE2823F,2,82065,Yes,2,421418,Unemployed,61,None,419452,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_378,5208958217,ABCDE5603F,4,24735,No,2,296704,Unemployed,42,Rent,415714,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_646,8328860942,ABCDE2383F,1,9009,Yes,0,732992,Self-Employed,47,None,37229,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_765,9002930797,ABCDE3902F,4,15748,Yes,1,347447,Unemployed,28,None,186600,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_833,1396904912,ABCDE5610F,0,40417,Yes,2,594763,Unemployed,61,Own,426575,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_407,8761020163,ABCDE1680F,2,38715,No,0,386274,Employed,39,Rent,181820,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_658,8402714500,ABCDE9281F,1,71212,No,2,635378,Unemployed,74,None,129735,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_22,4246773774,ABCDE9743F,0,42128,Yes,1,487426,Unemployed,68,Rent,10325,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_371,5816224827,ABCDE1730F,1,60184,Yes,1,805335,Self-Employed,29,Rent,195976,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_518,9301207366,ABCDE5695F,0,13924,Yes,1,57476,Employed,46,Own,357306,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_493,5254713490,ABCDE1280F,5,21767,No,0,200271,Unemployed,74,Rent,266889,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_62,8603729462,ABCDE9021F,0,47278,No,1,747408,Self-Employed,68,None,218946,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_561,2444300922,ABCDE9370F,0,96756,Yes,1,721820,Self-Employed,32,None,341211,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_755,3075322508,ABCDE2682F,1,55745,Yes,2,343642,Self-Employed,31,Own,485357,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_824,4200135757,ABCDE3803F,0,22504,No,2,883185,Unemployed,31,Own,360236,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_581,1849928233,ABCDE3049F,1,37230,Yes,2,727012,Unemployed,24,None,52659,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_687,2968139227,ABCDE3738F,5,7432,No,2,902829,Self-Employed,69,None,176047,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_111,6318430811,ABCDE4255F,4,43389,No,0,456289,Unemployed,28,None,103777,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_969,9154560131,ABCDE5743F,0,67469,No,0,320792,Self-Employed,66,None,93817,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_841,8307412916,ABCDE4289F,1,48274,No,2,712925,Self-Employed,65,Rent,484244,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_400,7610247831,ABCDE6114F,4,77632,No,2,456969,Unemployed,44,Rent,92407,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_776,4148991296,ABCDE3876F,1,32163,Yes,0,967304,Unemployed,53,None,342601,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_752,4692980366,ABCDE2870F,3,24926,Yes,1,973015,Self-Employed,66,Own,344215,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_246,7627875574,ABCDE4096F,1,72057,No,1,306243,Self-Employed,65,Rent,40321,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_584,5796330457,ABCDE3008F,3,67269,Yes,2,506137,Self-Employed,25,None,66594,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_875,6746562913,ABCDE3562F,2,89866,No,0,756034,Unemployed,43,Rent,420973,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_245,8835014676,ABCDE4666F,4,53513,No,2,728104,Self-Employed,65,Own,406932,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_416,5479609780,ABCDE4449F,3,84761,Yes,1,875987,Employed,18,None,213203,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_863,3837303590,ABCDE9316F,4,99577,No,2,616998,Unemployed,36,None,117131,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_159,8123803949,ABCDE1205F,4,23245,No,0,638280,Unemployed,32,None,53195,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_749,2344373407,ABCDE1612F,4,61253,No,1,250666,Self-Employed,72,Rent,497511,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_336,6059635536,ABCDE2833F,2,44466,No,0,657690,Employed,50,None,357581,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_282,3917771433,ABCDE5447F,0,71843,No,1,863999,Unemployed,64,Own,439549,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_635,3699281424,ABCDE4241F,0,13876,Yes,0,242457,Self-Employed,21,None,289461,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_116,4077347737,ABCDE1322F,3,43314,No,1,842072,Unemployed,67,Rent,43787,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_376,7426617872,ABCDE3053F,5,98142,Yes,1,153433,Unemployed,36,Rent,440357,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_462,2049791852,ABCDE3003F,3,66991,Yes,1,453102,Employed,28,Own,277674,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_413,5539277194,ABCDE6337F,0,38075,No,2,318189,Employed,56,Own,278535,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_387,3611625346,ABCDE7884F,4,35584,Yes,1,668569,Self-Employed,66,Rent,363497,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_741,3799587030,ABCDE3236F,3,60459,Yes,0,565500,Self-Employed,70,Own,433225,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_239,9464116423,ABCDE3069F,3,27673,Yes,1,969669,Unemployed,21,None,484998,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_625,6619589866,ABCDE9723F,1,29491,Yes,1,309770,Unemployed,36,Own,68696,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_12,5473499978,ABCDE5939F,3,89281,Yes,2,479240,Employed,61,Rent,139919,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_73,1963714871,ABCDE5811F,2,70852,No,1,986928,Employed,39,None,397107,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_956,8491985181,ABCDE1878F,0,91841,No,1,103276,Employed,23,None,475889,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_830,2425334964,ABCDE7202F,3,29081,No,1,187014,Self-Employed,62,Rent,143076,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_859,1938388710,ABCDE7248F,4,86240,Yes,1,125921,Unemployed,56,Rent,319938,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_243,8648574310,ABCDE2196F,2,18074,Yes,1,900029,Unemployed,21,None,423778,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_67,6318894795,ABCDE4765F,3,84731,Yes,2,364476,Unemployed,39,None,4872,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_610,3076039900,ABCDE6132F,0,31506,Yes,2,850259,Unemployed,70,Rent,134016,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_352,7947870664,ABCDE6514F,5,14938,No,0,756130,Self-Employed,43,None,233510,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_688,8026238639,ABCDE5920F,1,17787,Yes,0,265816,Unemployed,64,None,169504,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_996,3108889003,ABCDE4673F,5,43034,Yes,0,790440,Unemployed,42,Rent,248347,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_835,3440388314,ABCDE7899F,3,99403,Yes,0,558845,Self-Employed,74,None,220851,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_746,2728692323,ABCDE3993F,5,24991,Yes,0,98600,Self-Employed,50,Rent,388480,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_525,2002668198,ABCDE6566F,0,35682,Yes,1,725056,Employed,64,Own,166833,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_280,2369575203,ABCDE5700F,0,76219,Yes,2,579337,Employed,39,Own,190664,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_587,1245104910,ABCDE3943F,2,12603,Yes,0,776643,Unemployed,34,Rent,253091,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_336,3992646549,ABCDE4620F,4,35372,Yes,0,751025,Employed,35,Own,172326,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_292,5136176914,ABCDE5029F,0,49692,No,0,669597,Employed,49,Own,17458,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_149,9822424626,ABCDE6312F,2,30444,Yes,2,236547,Employed,41,Own,390950,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_173,3911899109,ABCDE5322F,2,43597,Yes,2,762692,Employed,28,None,337595,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_384,3968387183,ABCDE5890F,1,44749,No,0,755668,Unemployed,75,Own,248020,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_276,7403215045,ABCDE2603F,1,39933,No,0,792366,Employed,48,Rent,52798,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_295,2235661175,ABCDE7488F,5,38340,No,1,873803,Unemployed,22,Own,351401,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_913,6119043278,ABCDE3890F,4,81636,No,1,360492,Self-Employed,48,None,43014,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_263,5683521365,ABCDE7560F,0,8423,Yes,0,264474,Unemployed,34,Own,208479,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_415,9226107950,ABCDE8685F,1,15862,No,1,663670,Unemployed,29,Rent,7926,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_434,7988206812,ABCDE5098F,5,5126,Yes,1,71502,Unemployed,38,Own,165565,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_557,4121111413,ABCDE6559F,5,6726,Yes,2,884594,Employed,74,None,40310,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_550,4445558431,ABCDE8226F,0,92439,No,1,225671,Employed,75,None,242439,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_705,2216861320,ABCDE7121F,3,38568,Yes,1,132240,Self-Employed,35,Own,16963,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_173,7537817025,ABCDE4678F,0,29350,Yes,2,913104,Unemployed,40,Own,463960,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_421,4664742423,ABCDE6237F,3,41213,Yes,0,183258,Employed,56,Rent,330664,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_103,4535491388,ABCDE6617F,1,64167,Yes,2,525836,Unemployed,64,Own,107155,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_164,6418582755,ABCDE7336F,3,22623,Yes,1,990034,Employed,55,Rent,269495,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_704,5301047682,ABCDE6055F,2,27137,Yes,1,345767,Unemployed,50,None,398038,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_733,6208206085,ABCDE4896F,3,29713,No,2,946094,Unemployed,48,None,69894,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_724,7900808645,ABCDE8299F,4,29469,No,1,437010,Self-Employed,33,Own,307630,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_211,9594514059,ABCDE4011F,0,8543,No,2,245441,Self-Employed,69,Own,319848,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_202,6034202483,ABCDE9255F,5,84272,Yes,0,305349,Unemployed,32,Own,236386,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_383,2000035082,ABCDE7333F,3,25296,Yes,1,636540,Unemployed,58,Own,146262,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_400,3314833722,ABCDE8844F,4,59219,No,1,903251,Unemployed,54,Own,253228,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_522,7304116728,ABCDE5916F,5,13069,No,0,814423,Employed,75,Rent,358604,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_803,2109881175,ABCDE8997F,5,22719,Yes,2,651832,Employed,46,Rent,235993,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_408,9647449898,ABCDE2473F,5,98006,Yes,2,981975,Employed,48,None,319328,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_597,1318107338,ABCDE5314F,0,79038,Yes,1,72805,Employed,66,Rent,280371,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_691,9688338217,ABCDE2076F,0,55150,No,0,577287,Unemployed,27,Own,30057,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_632,9781990273,ABCDE3299F,4,97238,Yes,0,871540,Self-Employed,68,Rent,137685,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_312,7573910211,ABCDE7780F,2,88497,Yes,0,112429,Employed,45,Rent,31785,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_653,9230108555,ABCDE5283F,4,70127,No,1,141023,Self-Employed,63,None,71921,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_451,7552395132,ABCDE8073F,2,17896,Yes,2,660995,Unemployed,62,Rent,178941,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_806,2758602667,ABCDE9223F,4,96979,Yes,1,168222,Employed,38,None,442946,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_617,2333912128,ABCDE2389F,1,70355,Yes,0,587465,Employed,20,Rent,489693,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_550,8877015346,ABCDE3517F,4,51536,No,0,219832,Self-Employed,31,Rent,269601,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_128,7155282299,ABCDE1279F,2,81043,No,1,772437,Self-Employed,34,Own,487962,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_257,6817323010,ABCDE7612F,4,73591,No,0,682145,Unemployed,32,None,5068,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_522,6891547051,ABCDE4007F,1,24492,No,1,357498,Self-Employed,30,None,38775,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_12,8575410428,ABCDE2424F,4,24363,No,2,150530,Unemployed,64,Rent,317681,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_157,6396092203,ABCDE6715F,1,88592,No,1,855043,Unemployed,63,Rent,170604,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_567,1760639004,ABCDE1297F,1,90853,No,1,913830,Unemployed,32,Rent,339250,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_382,8266611522,ABCDE4271F,3,18195,No,0,790417,Employed,61,Rent,48501,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_955,4615916438,ABCDE4505F,1,81908,No,0,400560,Employed,64,Rent,2815,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_897,7458993266,ABCDE1049F,2,25185,Yes,2,482664,Self-Employed,39,Own,486660,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_298,9137106243,ABCDE9923F,3,64232,No,2,844650,Employed,66,Rent,165184,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_775,2847659845,ABCDE3352F,2,93557,No,1,736109,Unemployed,61,Rent,253078,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_735,8511626776,ABCDE5853F,0,20007,Yes,2,415374,Employed,57,Rent,490328,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
