Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status
Person_486,101248311787,ABCDE4431F,0,19573,No,0,161980,Employed,33,Rent,291750,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_837,758713537483,ABCDE2376F,0,68497,No,1,269921,Employed,24,No Property,315975,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_932,934355065521,ABCDE6405F,4,77558,No,0,86743,Self-Employed,67,No Property,56963,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_952,635609101659,ABCDE8311F,0,95903,Yes,2,182823,Self-Employed,42,No Property,100805,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_478,594553310135,ABCDE9744F,0,51935,No,0,115401,Self-Employed,64,Rent,69313,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_235,227792130086,ABCDE6309F,0,26645,Yes,0,243525,Employed,53,Rent,226160,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_873,478347549171,ABCDE3472F,4,89946,Yes,1,155635,Employed,72,Rent,285811,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_576,281620779377,ABCDE5214F,2,27369,No,1,186456,Employed,43,Own,193048,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_528,326489064775,ABCDE4150F,4,73974,Yes,0,247431,Unemployed,20,Rent,181712,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_137,121736680202,ABCDE7548F,0,9325,No,1,213035,Self-Employed,64,Own,247908,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_818,166558398791,ABCDE4249F,3,68359,Yes,1,221396,Employed,66,Rent,330500,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_243,969112483384,ABCDE8210F,2,54051,Yes,1,270135,Unemployed,54,Rent,332355,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_557,620984475360,ABCDE9316F,0,41382,Yes,2,272856,Employed,43,No Property,258620,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_846,393171256072,ABCDE2600F,2,34765,Yes,0,232876,Employed,52,No Property,393308,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_967,376636659631,ABCDE8749F,3,86032,Yes,1,189137,Unemployed,33,Rent,357700,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_835,369718520116,ABCDE5576F,4,48657,Yes,2,62038,Self-Employed,58,Rent,136954,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_630,253583395820,ABCDE3922F,3,53406,Yes,1,153244,Employed,33,No Property,157415,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_252,925731780586,ABCDE4587F,5,49935,Yes,2,189023,Employed,39,Rent,229407,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_170,379526700013,ABCDE1096F,1,8469,No,2,226400,Employed,18,No Property,217377,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_646,838111919154,ABCDE2097F,5,34238,No,1,141921,Self-Employed,62,Rent,112688,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_339,327436291397,ABCDE8139F,5,95999,Yes,0,248178,Employed,30,No Property,398405,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_444,208966587496,ABCDE7743F,1,22625,No,2,86604,Employed,61,No Property,57662,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_115,166559325569,ABCDE4408F,3,82976,Yes,2,50460,Self-Employed,74,Own,53730,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_398,464229291465,ABCDE1537F,0,36575,No,0,256785,Employed,69,No Property,118181,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_188,939575847213,ABCDE7597F,1,92343,Yes,2,177100,Unemployed,67,Own,357829,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_954,195028616376,ABCDE2966F,2,27245,Yes,0,145415,Employed,70,Rent,23182,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_997,919262137364,ABCDE2803F,2,74987,Yes,2,288565,Employed,49,No Property,288733,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_895,665712486399,ABCDE1792F,3,41176,No,2,74613,Self-Employed,41,Rent,132806,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_505,301118896659,ABCDE7293F,3,97040,Yes,1,217000,Self-Employed,68,Own,335989,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_358,488168757455,ABCDE4294F,5,90343,Yes,0,279012,Employed,58,Own,319941,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_749,577945230217,ABCDE2068F,2,14880,No,2,38906,Employed,27,Rent,47745,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_93,755874823285,ABCDE4533F,4,40562,Yes,0,102863,Unemployed,39,Rent,76361,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_788,264014064296,ABCDE6277F,5,17042,Yes,2,137108,Employed,60,No Property,99096,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_823,994723300922,ABCDE5741F,2,55740,Yes,0,25447,Employed,30,Rent,29006,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_667,374676281955,ABCDE7808F,3,95308,Yes,0,128761,Self-Employed,40,No Property,113349,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_667,631541719895,ABCDE7844F,4,46120,No,0,267124,Self-Employed,26,Own,257690,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_797,561896338942,ABCDE3496F,2,76127,No,0,204192,Employed,53,Rent,183327,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_717,899692919301,ABCDE3451F,2,5627,No,1,72588,Employed,60,Rent,62368,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_338,305029621812,ABCDE3915F,2,99288,No,0,114287,Employed,61,No Property,23299,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_356,308623624371,ABCDE9472F,5,47112,Yes,2,172168,Unemployed,40,Rent,127638,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_590,198685672374,ABCDE7855F,3,84460,Yes,1,202935,Employed,62,Rent,292232,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_181,919634745966,ABCDE7164F,1,55430,No,0,260044,Employed,62,Own,282302,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_687,134555823509,ABCDE8124F,1,13193,Yes,2,73490,Employed,71,Rent,68055,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_819,375130176357,ABCDE8004F,2,23788,Yes,0,70817,Unemployed,47,Own,135727,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_2,694030940356,ABCDE9394F,0,59645,No,0,225620,Employed,57,Own,227169,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_184,460637413606,ABCDE1432F,2,31880,Yes,0,201075,Employed,18,Own,186281,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_336,386791470731,ABCDE3188F,1,26804,No,2,271882,Employed,34,Rent,393443,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_884,198942487125,ABCDE1856F,5,46477,Yes,1,212494,Self-Employed,21,Rent,183958,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_202,982562279217,ABCDE9113F,0,96655,Yes,2,28049,Unemployed,56,Own,129445,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_868,290049669292,ABCDE6447F,4,71880,Yes,1,276330,Employed,58,Own,157250,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_251,691802943031,ABCDE5033F,3,34954,Yes,2,258170,Self-Employed,65,Own,147185,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_295,257895331298,ABCDE4315F,1,44735,Yes,1,106752,Self-Employed,75,Rent,133577,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_989,923570615936,ABCDE8750F,5,50459,Yes,1,180470,Unemployed,30,No Property,213413,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_39,203281336713,ABCDE2997F,0,46703,No,1,153864,Self-Employed,58,No Property,371620,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_263,724714613647,ABCDE7690F,2,29096,Yes,0,71443,Unemployed,39,Own,75176,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_521,103196029472,ABCDE7215F,3,5209,Yes,2,150358,Employed,41,No Property,386656,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_766,158067851017,ABCDE8124F,2,39507,No,2,243454,Unemployed,38,No Property,324073,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_317,986864890797,ABCDE5845F,3,7431,No,2,52303,Employed,51,No Property,123276,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_922,210357182298,ABCDE5358F,5,9606,No,2,163836,Employed,48,No Property,107498,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_721,688428952359,ABCDE1938F,4,71001,No,2,297602,Unemployed,53,Rent,106743,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_543,652226832123,ABCDE3903F,5,72952,No,0,244726,Unemployed,71,Own,382921,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_898,316945572948,ABCDE9311F,5,74165,Yes,2,168313,Employed,62,Own,393734,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_617,427977723487,ABCDE6852F,0,70753,Yes,1,47474,Unemployed,58,Own,105198,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_136,122885859931,ABCDE8756F,3,47203,Yes,2,250346,Unemployed,56,Own,257406,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_708,569736177881,ABCDE9377F,3,13518,No,1,236986,Employed,59,Rent,355733,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_269,199114103637,ABCDE8205F,0,64160,No,1,212884,Unemployed,45,Rent,345563,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_914,239945883947,ABCDE6375F,4,77380,Yes,1,233222,Employed,24,No Property,144858,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_795,440050656315,ABCDE1243F,4,35983,No,0,76975,Employed,28,Rent,117457,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_861,888471653484,ABCDE3659F,3,80534,Yes,2,44090,Employed,56,Rent,78033,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_240,499241320681,ABCDE5573F,1,93944,Yes,2,80834,Unemployed,53,No Property,91674,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_854,622085399481,ABCDE2453F,4,47665,No,2,218690,Self-Employed,58,No Property,310828,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_780,944105346545,ABCDE9529F,3,74337,Yes,2,25450,Employed,43,No Property,119963,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_368,298590422754,ABCDE3829F,0,60091,Yes,2,204540,Employed,33,Rent,152335,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_921,715736168143,ABCDE8329F,2,7038,Yes,0,38190,Employed,31,No Property,91333,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_358,913098708411,ABCDE6548F,2,15549,Yes,1,238961,Employed,20,Own,280493,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_338,195275712410,ABCDE7922F,1,62989,No,0,206154,Employed,28,No Property,238153,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_979,395138888764,ABCDE1648F,1,92756,No,2,259782,Self-Employed,67,No Property,358858,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_639,551076549011,ABCDE7145F,4,39420,No,0,27047,Unemployed,33,Own,52813,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_475,704886636124,ABCDE9597F,4,22675,No,1,214572,Employed,70,No Property,341618,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_27,767455508380,ABCDE8330F,4,50817,No,1,108603,Self-Employed,46,Rent,112172,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_448,654583547348,ABCDE3974F,3,17807,Yes,0,31713,Employed,28,Rent,132309,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_650,442787188239,ABCDE7906F,5,57221,Yes,2,156135,Employed,49,Own,299614,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_796,302484864678,ABCDE3926F,2,82125,No,0,210767,Employed,34,Rent,326401,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_543,535821974637,ABCDE7845F,1,77970,Yes,2,271551,Employed,24,Own,293349,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_433,926753496400,ABCDE2300F,2,59000,Yes,1,57132,Employed,57,Own,50186,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_175,991308536854,ABCDE8791F,0,54512,No,0,180771,Employed,63,Rent,116062,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_867,245555270379,ABCDE3479F,5,92515,No,1,234468,Employed,52,Rent,155451,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_139,159897380474,ABCDE1495F,2,77770,Yes,1,116068,Employed,29,Own,126941,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_765,425152545772,ABCDE3258F,4,33844,No,2,250830,Employed,66,Rent,199770,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_723,870592263642,ABCDE6316F,3,61468,Yes,0,44920,Employed,40,Rent,45165,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_168,893288767453,ABCDE2681F,5,38615,No,2,135631,Self-Employed,67,Own,36290,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_316,107944422318,ABCDE7392F,0,18883,No,1,207372,Employed,64,No Property,399737,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_916,387908850802,ABCDE9363F,5,51333,No,1,276547,Employed,26,Rent,198805,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_339,776004886835,ABCDE1301F,4,60935,Yes,0,76486,Employed,65,Rent,43680,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_389,381635169026,ABCDE5509F,1,93256,Yes,0,175478,Employed,61,Own,366638,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_181,214665252927,ABCDE1265F,3,29674,Yes,1,100749,Unemployed,48,Rent,70672,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_886,285423186726,ABCDE4630F,4,14936,Yes,0,296622,Employed,59,Own,360241,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_977,723830128159,ABCDE3456F,5,55681,Yes,2,290107,Self-Employed,60,Own,109023,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_97,625648225272,ABCDE3853F,4,47381,Yes,0,248465,Employed,74,No Property,271007,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_843,256413978578,ABCDE4943F,1,68079,Yes,1,44066,Self-Employed,54,No Property,133712,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_135,181551811019,ABCDE8026F,2,76995,No,2,96252,Employed,45,Rent,29491,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_474,893928914804,ABCDE4679F,3,28101,No,1,82267,Employed,54,Rent,118379,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_249,238133020629,ABCDE9314F,1,78727,Yes,0,121990,Employed,53,Own,60393,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_350,579741528494,ABCDE1263F,5,95877,Yes,0,289293,Employed,40,No Property,193057,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_672,589644425727,ABCDE5050F,3,62853,Yes,2,162375,Employed,68,Rent,108924,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_636,946485776010,ABCDE7766F,3,98077,Yes,0,31251,Employed,61,Rent,62923,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_798,981143211531,ABCDE1477F,2,44641,Yes,2,239271,Self-Employed,69,Own,293242,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_721,194293524871,ABCDE6671F,3,52274,No,0,278122,Self-Employed,67,Rent,164076,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_527,486304344740,ABCDE3959F,2,73558,Yes,2,272094,Self-Employed,35,Own,371238,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_599,803711165697,ABCDE1318F,2,68714,No,2,88386,Employed,28,Own,108475,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_542,435019471827,ABCDE6133F,5,8468,Yes,2,239751,Unemployed,48,Rent,147571,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_19,716024756237,ABCDE2589F,2,13991,Yes,1,244284,Employed,39,Rent,359843,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_856,111919921385,ABCDE5627F,4,18730,No,1,188392,Employed,24,Own,232023,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_103,871620387442,ABCDE6138F,3,58438,Yes,1,206143,Employed,32,No Property,121441,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_879,327207988159,ABCDE1025F,4,45607,Yes,1,36606,Employed,53,Rent,68355,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_38,574202787806,ABCDE6731F,0,35684,Yes,2,107688,Employed,46,Rent,28873,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_322,967692190027,ABCDE1497F,5,44532,Yes,0,234914,Employed,56,Rent,216996,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_460,601573499315,ABCDE4798F,2,35998,No,0,73166,Employed,22,No Property,86737,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_601,517012322968,ABCDE9686F,5,9510,Yes,1,124810,Employed,53,No Property,80829,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_704,283784910594,ABCDE3147F,0,17955,Yes,2,263961,Employed,19,Rent,115798,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_743,585761900800,ABCDE1526F,5,11853,No,1,86440,Employed,60,Rent,66506,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_442,200009890363,ABCDE7345F,2,99044,No,0,254826,Unemployed,69,No Property,394496,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_111,287221042201,ABCDE9145F,5,44129,Yes,0,62072,Employed,73,Rent,96710,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_708,481645020353,ABCDE8960F,1,64865,Yes,2,120111,Employed,24,No Property,119938,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_790,891849620750,ABCDE4397F,2,83090,Yes,2,274687,Self-Employed,71,Own,357419,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_416,769595567554,ABCDE2962F,5,69941,No,0,32729,Employed,74,Own,130518,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_872,434574004691,ABCDE1194F,5,52016,Yes,2,227150,Employed,25,Own,168491,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_933,265198177245,ABCDE2199F,0,27543,Yes,2,284242,Unemployed,18,No Property,263517,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_222,641925945495,ABCDE6943F,3,52031,Yes,1,292356,Unemployed,27,No Property,292954,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_853,904756023267,ABCDE2370F,2,15025,No,0,188491,Employed,42,Own,100843,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_896,786097320416,ABCDE4644F,2,47121,Yes,2,249442,Self-Employed,59,Rent,356307,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_225,394969226552,ABCDE6605F,3,45602,No,2,44197,Unemployed,45,No Property,78284,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_422,638708873934,ABCDE3461F,0,24306,Yes,2,221550,Employed,32,Own,229712,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_945,581676691183,ABCDE8975F,2,31322,No,2,265466,Employed,50,No Property,150449,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_904,276528433234,ABCDE2457F,1,5968,No,2,37792,Unemployed,55,No Property,26107,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_620,945714498921,ABCDE3960F,5,72331,Yes,1,185245,Unemployed,41,Rent,355341,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_75,471801646121,ABCDE2003F,2,52660,Yes,1,255994,Employed,75,No Property,392142,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_483,594920748141,ABCDE7823F,4,40906,Yes,1,86079,Employed,33,Rent,68957,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_232,253569629824,ABCDE1251F,0,31349,Yes,0,101628,Employed,30,No Property,144643,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_482,872504189075,ABCDE8405F,3,32593,No,0,281902,Employed,25,No Property,395585,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_783,780266058874,ABCDE7764F,3,94870,Yes,0,201132,Employed,41,Own,317701,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_809,221483360533,ABCDE4609F,2,20426,No,1,298258,Unemployed,51,Own,220022,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_766,137916992580,ABCDE6637F,1,83763,No,0,139400,Employed,44,Own,112869,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_76,311916050805,ABCDE3718F,0,36434,No,1,269469,Employed,45,Rent,295563,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_567,477189218238,ABCDE7101F,4,31731,Yes,2,155458,Employed,43,Rent,334400,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_203,769474223401,ABCDE8217F,4,27419,Yes,2,162046,Self-Employed,67,Own,179830,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_190,989984690963,ABCDE7400F,0,97643,Yes,2,81256,Employed,46,Own,57020,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_17,252378049749,ABCDE7528F,0,40708,No,1,73505,Self-Employed,44,No Property,139845,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_945,132578267290,ABCDE6308F,2,58448,Yes,2,51314,Employed,22,Rent,120531,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_266,292959700010,ABCDE3344F,0,55717,No,2,115576,Employed,68,No Property,137043,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_793,558500377845,ABCDE1883F,0,24567,No,1,104448,Unemployed,29,No Property,66351,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_247,403982628497,ABCDE3337F,4,81990,Yes,1,51707,Unemployed,52,No Property,57098,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_442,750935464807,ABCDE3671F,5,58399,Yes,1,143652,Unemployed,30,Own,66837,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_818,730608402712,ABCDE4987F,0,74371,Yes,2,123353,Self-Employed,60,No Property,143744,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_601,771054487704,ABCDE5423F,1,7511,Yes,2,232241,Employed,36,Rent,198182,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_126,582151025339,ABCDE5409F,2,51126,No,2,226693,Unemployed,53,Own,147290,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_339,144752391696,ABCDE8284F,5,60565,Yes,0,247490,Self-Employed,70,Rent,349812,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
